seed=29
gen=0	fitness=1018.505287697910	tour=[0, 17, 4, 12, 8, 1, 9, 19, 3, 6, 21, 20, 24, 18, 15, 2, 13, 16, 10, 14, 7, 11, 22, 5, 23]
gen=1	fitness=646.998749415791	tour=[0, 19, 9, 1, 8, 7, 2, 17, 3, 11, 10, 15, 4, 18, 14, 24, 12, 13, 21, 5, 20, 16, 22, 6, 23]
gen=2	fitness=633.156319162162	tour=[0, 19, 9, 1, 2, 7, 8, 11, 3, 17, 10, 15, 24, 18, 14, 4, 12, 13, 21, 20, 5, 16, 22, 6, 23]
gen=3	fitness=604.336564177179	tour=[0, 19, 9, 1, 2, 7, 8, 11, 3, 23, 12, 15, 24, 18, 14, 4, 10, 13, 16, 22, 20, 21, 5, 6, 17]
gen=4	fitness=600.741213559079	tour=[0, 19, 9, 1, 2, 7, 8, 11, 3, 23, 6, 5, 21, 20, 22, 16, 13, 10, 4, 14, 18, 24, 15, 12, 17]
gen=5	fitness=561.290366061403	tour=[0, 2, 9, 1, 19, 7, 8, 13, 16, 22, 21, 20, 23, 6, 17, 3, 11, 10, 4, 18, 14, 24, 15, 12, 5]
gen=6	fitness=516.521812059918	tour=[0, 13, 1, 9, 19, 7, 8, 2, 16, 22, 21, 20, 5, 23, 3, 11, 17, 6, 4, 18, 14, 24, 15, 12, 10]
gen=7	fitness=508.015799655455	tour=[0, 13, 1, 9, 19, 7, 2, 8, 16, 22, 21, 20, 5, 17, 3, 11, 23, 6, 4, 18, 14, 24, 15, 12, 10]
gen=8	fitness=502.160325512777	tour=[0, 13, 19, 9, 1, 7, 2, 8, 16, 22, 21, 20, 5, 17, 11, 3, 23, 6, 4, 18, 14, 24, 15, 12, 10]
gen=9	fitness=502.160325512777	tour=[0, 13, 19, 9, 1, 7, 2, 8, 16, 22, 21, 20, 5, 17, 11, 3, 23, 6, 4, 18, 14, 24, 15, 12, 10]
gen=10	fitness=502.160325512777	tour=[0, 13, 19, 9, 1, 7, 2, 8, 16, 22, 21, 20, 5, 17, 11, 3, 23, 6, 4, 18, 14, 24, 15, 12, 10]
gen=11	fitness=502.160325512777	tour=[0, 13, 19, 9, 1, 7, 2, 8, 16, 22, 21, 20, 5, 17, 11, 3, 23, 6, 4, 18, 14, 24, 15, 12, 10]
gen=12	fitness=502.160325512777	tour=[0, 13, 19, 9, 1, 7, 2, 8, 16, 22, 21, 20, 5, 17, 11, 3, 23, 6, 4, 18, 14, 24, 15, 12, 10]
gen=13	fitness=502.160325512777	tour=[0, 13, 19, 9, 1, 7, 2, 8, 16, 22, 21, 20, 5, 17, 11, 3, 23, 6, 4, 18, 14, 24, 15, 12, 10]
gen=14	fitness=502.160325512777	tour=[0, 13, 19, 9, 1, 7, 2, 8, 16, 22, 21, 20, 5, 17, 11, 3, 23, 6, 4, 18, 14, 24, 15, 12, 10]
gen=15	fitness=502.160325512777	tour=[0, 13, 19, 9, 1, 7, 2, 8, 16, 22, 21, 20, 5, 17, 11, 3, 23, 6, 4, 18, 14, 24, 15, 12, 10]
gen=16	fitness=495.823857993048	tour=[0, 8, 2, 7, 19, 1, 9, 13, 16, 4, 14, 18, 24, 15, 12, 22, 21, 10, 6, 23, 3, 11, 17, 20, 5]
gen=17	fitness=459.627031430245	tour=[0, 8, 2, 7, 19, 1, 9, 13, 16, 12, 15, 24, 14, 18, 4, 22, 21, 10, 20, 5, 6, 11, 3, 23, 17]
gen=18	fitness=435.216129171010	tour=[0, 8, 2, 7, 19, 1, 9, 13, 16, 12, 15, 24, 14, 18, 4, 10, 21, 22, 20, 5, 6, 23, 3, 11, 17]
gen=19	fitness=435.216129171010	tour=[0, 8, 2, 7, 19, 1, 9, 13, 16, 12, 15, 24, 14, 18, 4, 10, 21, 22, 20, 5, 6, 23, 3, 11, 17]
gen=20	fitness=435.216129171010	tour=[0, 8, 2, 7, 19, 1, 9, 13, 16, 12, 15, 24, 14, 18, 4, 10, 21, 22, 20, 5, 6, 23, 3, 11, 17]
gen=21	fitness=435.216129171010	tour=[0, 8, 2, 7, 19, 1, 9, 13, 16, 12, 15, 24, 14, 18, 4, 10, 21, 22, 20, 5, 6, 23, 3, 11, 17]
gen=22	fitness=435.216129171010	tour=[0, 8, 2, 7, 19, 1, 9, 13, 16, 12, 15, 24, 14, 18, 4, 10, 21, 22, 20, 5, 6, 23, 3, 11, 17]
gen=23	fitness=435.216129171010	tour=[0, 8, 2, 7, 19, 1, 9, 13, 16, 12, 15, 24, 14, 18, 4, 10, 21, 22, 20, 5, 6, 23, 3, 11, 17]
gen=24	fitness=435.216129171010	tour=[0, 8, 2, 7, 19, 1, 9, 13, 16, 12, 15, 24, 14, 18, 4, 10, 21, 22, 20, 5, 6, 23, 3, 11, 17]
gen=25	fitness=435.216129171010	tour=[0, 8, 2, 7, 19, 1, 9, 13, 16, 12, 15, 24, 14, 18, 4, 10, 21, 22, 20, 5, 6, 23, 3, 11, 17]
gen=26	fitness=435.216129171010	tour=[0, 8, 2, 7, 19, 1, 9, 13, 16, 12, 15, 24, 14, 18, 4, 10, 21, 22, 20, 5, 6, 23, 3, 11, 17]
gen=27	fitness=435.216129171010	tour=[0, 8, 2, 7, 19, 1, 9, 13, 16, 12, 15, 24, 14, 18, 4, 10, 21, 22, 20, 5, 6, 23, 3, 11, 17]
gen=28	fitness=435.216129171010	tour=[0, 8, 2, 7, 19, 1, 9, 13, 16, 12, 15, 24, 14, 18, 4, 10, 21, 22, 20, 5, 6, 23, 3, 11, 17]
gen=29	fitness=435.216129171010	tour=[0, 8, 2, 7, 19, 1, 9, 13, 16, 12, 15, 24, 14, 18, 4, 10, 21, 22, 20, 5, 6, 23, 3, 11, 17]
gen=30	fitness=435.216129171010	tour=[0, 8, 2, 7, 19, 1, 9, 13, 16, 12, 15, 24, 14, 18, 4, 10, 21, 22, 20, 5, 6, 23, 3, 11, 17]
gen=31	fitness=435.216129171010	tour=[0, 8, 2, 7, 19, 1, 9, 13, 16, 12, 15, 24, 14, 18, 4, 10, 21, 22, 20, 5, 6, 23, 3, 11, 17]
gen=32	fitness=435.216129171010	tour=[0, 8, 2, 7, 19, 1, 9, 13, 16, 12, 15, 24, 14, 18, 4, 10, 21, 22, 20, 5, 6, 23, 3, 11, 17]
gen=33	fitness=435.216129171010	tour=[0, 8, 2, 7, 19, 1, 9, 13, 16, 12, 15, 24, 14, 18, 4, 10, 21, 22, 20, 5, 6, 23, 3, 11, 17]
gen=34	fitness=435.216129171010	tour=[0, 8, 2, 7, 19, 1, 9, 13, 16, 12, 15, 24, 14, 18, 4, 10, 21, 22, 20, 5, 6, 23, 3, 11, 17]
gen=35	fitness=419.686846036900	tour=[0, 17, 10, 5, 20, 21, 22, 16, 13, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 6, 23, 3, 11]
gen=36	fitness=419.160344528908	tour=[0, 17, 10, 5, 20, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 6, 23, 3, 11]
gen=37	fitness=419.160344528908	tour=[0, 17, 10, 5, 20, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 6, 23, 3, 11]
gen=38	fitness=419.160344528908	tour=[0, 17, 10, 5, 20, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 6, 23, 3, 11]
gen=39	fitness=419.160344528908	tour=[0, 17, 10, 5, 20, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 6, 23, 3, 11]
gen=40	fitness=419.160344528908	tour=[0, 17, 10, 5, 20, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 6, 23, 3, 11]
gen=41	fitness=419.160344528908	tour=[0, 17, 10, 5, 20, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 6, 23, 3, 11]
