seed=28
gen=0	fitness=993.547436083973	tour=[0, 1, 8, 12, 14, 17, 3, 11, 23, 18, 19, 9, 21, 5, 16, 4, 22, 24, 20, 2, 7, 13, 15, 6, 10]
gen=1	fitness=736.933904973471	tour=[0, 24, 15, 1, 2, 8, 21, 10, 6, 17, 11, 3, 23, 7, 9, 12, 19, 22, 13, 14, 4, 18, 16, 20, 5]
gen=2	fitness=625.686829776757	tour=[0, 7, 1, 19, 2, 8, 16, 10, 6, 17, 11, 3, 23, 24, 15, 9, 12, 13, 22, 14, 18, 4, 21, 20, 5]
gen=3	fitness=620.097876689349	tour=[0, 7, 1, 19, 2, 8, 16, 21, 6, 17, 11, 3, 23, 24, 15, 9, 12, 13, 22, 14, 18, 4, 10, 20, 5]
gen=4	fitness=619.853985216204	tour=[0, 7, 19, 1, 2, 8, 16, 21, 6, 17, 11, 3, 23, 24, 15, 9, 12, 13, 22, 14, 18, 4, 10, 20, 5]
gen=5	fitness=612.833358777282	tour=[0, 19, 1, 7, 2, 8, 16, 21, 6, 17, 11, 3, 23, 24, 15, 9, 12, 13, 22, 14, 18, 4, 10, 20, 5]
gen=6	fitness=558.150659462897	tour=[0, 19, 1, 7, 2, 8, 16, 21, 6, 17, 11, 3, 23, 22, 13, 12, 9, 15, 24, 14, 18, 4, 10, 20, 5]
gen=7	fitness=537.864143852183	tour=[0, 19, 1, 7, 2, 8, 16, 21, 6, 23, 11, 3, 17, 22, 13, 9, 12, 15, 24, 14, 18, 4, 10, 20, 5]
gen=8	fitness=526.726981619051	tour=[0, 19, 1, 7, 2, 8, 16, 21, 10, 4, 18, 14, 24, 15, 12, 9, 13, 22, 17, 11, 3, 23, 6, 20, 5]
gen=9	fitness=526.726981619051	tour=[0, 19, 1, 7, 2, 8, 16, 21, 10, 4, 18, 14, 24, 15, 12, 9, 13, 22, 17, 11, 3, 23, 6, 20, 5]
gen=10	fitness=526.726981619051	tour=[0, 19, 1, 7, 2, 8, 16, 21, 10, 4, 18, 14, 24, 15, 12, 9, 13, 22, 17, 11, 3, 23, 6, 20, 5]
gen=11	fitness=526.726981619051	tour=[0, 19, 1, 7, 2, 8, 16, 21, 10, 4, 18, 14, 24, 15, 12, 9, 13, 22, 17, 11, 3, 23, 6, 20, 5]
gen=12	fitness=526.726981619051	tour=[0, 19, 1, 7, 2, 8, 16, 21, 10, 4, 18, 14, 24, 15, 12, 9, 13, 22, 17, 11, 3, 23, 6, 20, 5]
gen=13	fitness=526.726981619051	tour=[0, 19, 1, 7, 2, 8, 16, 21, 10, 4, 18, 14, 24, 15, 12, 9, 13, 22, 17, 11, 3, 23, 6, 20, 5]
gen=14	fitness=526.726981619051	tour=[0, 19, 1, 7, 2, 8, 16, 21, 10, 4, 18, 14, 24, 15, 12, 9, 13, 22, 17, 11, 3, 23, 6, 20, 5]
gen=15	fitness=526.726981619051	tour=[0, 19, 1, 7, 2, 8, 16, 21, 10, 4, 18, 14, 24, 15, 12, 9, 13, 22, 17, 11, 3, 23, 6, 20, 5]
gen=16	fitness=526.726981619051	tour=[0, 19, 1, 7, 2, 8, 16, 21, 10, 4, 18, 14, 24, 15, 12, 9, 13, 22, 17, 11, 3, 23, 6, 20, 5]
gen=17	fitness=526.726981619051	tour=[0, 19, 1, 7, 2, 8, 16, 21, 10, 4, 18, 14, 24, 15, 12, 9, 13, 22, 17, 11, 3, 23, 6, 20, 5]
gen=18	fitness=526.726981619051	tour=[0, 19, 1, 7, 2, 8, 16, 21, 10, 4, 18, 14, 24, 15, 12, 9, 13, 22, 17, 11, 3, 23, 6, 20, 5]
gen=19	fitness=526.726981619051	tour=[0, 19, 1, 7, 2, 8, 16, 21, 10, 4, 18, 14, 24, 15, 12, 9, 13, 22, 17, 11, 3, 23, 6, 20, 5]
gen=20	fitness=519.057546052208	tour=[0, 4, 18, 14, 24, 15, 12, 10, 6, 23, 11, 3, 17, 20, 13, 9, 1, 19, 7, 2, 8, 16, 22, 21, 5]
gen=21	fitness=514.932046113597	tour=[0, 4, 18, 14, 24, 15, 12, 10, 6, 23, 11, 3, 17, 5, 16, 8, 2, 7, 19, 1, 9, 13, 22, 21, 20]
gen=22	fitness=503.231475442403	tour=[0, 5, 17, 11, 3, 23, 6, 10, 12, 15, 24, 14, 18, 4, 16, 8, 2, 7, 19, 1, 9, 13, 22, 21, 20]
gen=23	fitness=503.231475442403	tour=[0, 5, 17, 11, 3, 23, 6, 10, 12, 15, 24, 14, 18, 4, 16, 8, 2, 7, 19, 1, 9, 13, 22, 21, 20]
gen=24	fitness=503.231475442403	tour=[0, 5, 17, 11, 3, 23, 6, 10, 12, 15, 24, 14, 18, 4, 16, 8, 2, 7, 19, 1, 9, 13, 22, 21, 20]
gen=25	fitness=503.231475442403	tour=[0, 5, 17, 11, 3, 23, 6, 10, 12, 15, 24, 14, 18, 4, 16, 8, 2, 7, 19, 1, 9, 13, 22, 21, 20]
gen=26	fitness=503.231475442403	tour=[0, 5, 17, 11, 3, 23, 6, 10, 12, 15, 24, 14, 18, 4, 16, 8, 2, 7, 19, 1, 9, 13, 22, 21, 20]
gen=27	fitness=503.231475442403	tour=[0, 5, 17, 11, 3, 23, 6, 10, 12, 15, 24, 14, 18, 4, 16, 8, 2, 7, 19, 1, 9, 13, 22, 21, 20]
gen=28	fitness=503.231475442403	tour=[0, 5, 17, 11, 3, 23, 6, 10, 12, 15, 24, 14, 18, 4, 16, 8, 2, 7, 19, 1, 9, 13, 22, 21, 20]
gen=29	fitness=471.283052458019	tour=[0, 16, 22, 6, 10, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 21, 20, 5, 23, 17, 3, 11]
gen=30	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=31	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=32	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=33	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=34	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=35	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=36	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=37	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=38	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=39	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=40	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=41	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=42	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=43	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=44	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=45	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=46	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=47	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=48	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=49	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=50	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=51	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=52	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=53	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=54	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
gen=55	fitness=427.688328314196	tour=[0, 16, 21, 20, 5, 4, 14, 18, 24, 15, 12, 9, 1, 19, 7, 2, 8, 13, 22, 10, 6, 23, 17, 3, 11]
