seed=34
gen=0	fitness=955.381881647914	tour=[2, 9, 4, 0, 10, 16, 1, 12, 22, 15, 5, 13, 18, 24, 20, 17, 11, 23, 3, 6, 21, 19, 14, 8, 7]
gen=1	fitness=907.591634183325	tour=[2, 9, 4, 0, 10, 16, 1, 12, 22, 15, 18, 20, 7, 24, 14, 23, 17, 3, 11, 6, 5, 13, 19, 21, 8]
gen=2	fitness=907.591634183325	tour=[2, 9, 4, 0, 10, 16, 1, 12, 22, 15, 18, 20, 7, 24, 14, 23, 17, 3, 11, 6, 5, 13, 19, 21, 8]
gen=3	fitness=907.591634183325	tour=[2, 9, 4, 0, 10, 16, 1, 12, 22, 15, 18, 20, 7, 24, 14, 23, 17, 3, 11, 6, 5, 13, 19, 21, 8]
gen=4	fitness=907.591634183325	tour=[2, 9, 4, 0, 10, 16, 1, 12, 22, 15, 18, 20, 7, 24, 14, 23, 17, 3, 11, 6, 5, 13, 19, 21, 8]
gen=5	fitness=907.591634183325	tour=[2, 9, 4, 0, 10, 16, 1, 12, 22, 15, 18, 20, 7, 24, 14, 23, 17, 3, 11, 6, 5, 13, 19, 21, 8]
gen=6	fitness=897.305826147708	tour=[14, 24, 4, 20, 10, 16, 1, 12, 22, 15, 18, 13, 7, 9, 2, 19, 23, 11, 6, 0, 17, 3, 21, 5, 8]
gen=7	fitness=816.116993294765	tour=[14, 24, 4, 20, 10, 16, 1, 12, 22, 15, 18, 13, 7, 9, 19, 6, 23, 21, 5, 0, 11, 3, 17, 8, 2]
gen=8	fitness=816.116993294765	tour=[14, 24, 4, 20, 10, 16, 1, 12, 22, 15, 18, 13, 7, 9, 19, 6, 23, 21, 5, 0, 11, 3, 17, 8, 2]
gen=9	fitness=811.630516206879	tour=[14, 24, 4, 20, 10, 16, 1, 12, 22, 15, 18, 13, 7, 9, 19, 5, 0, 6, 21, 8, 2, 23, 11, 3, 17]
gen=10	fitness=795.193186036745	tour=[18, 4, 24, 20, 10, 16, 1, 12, 22, 15, 9, 19, 7, 5, 23, 11, 17, 2, 8, 13, 21, 3, 0, 6, 14]
gen=11	fitness=787.105605694246	tour=[24, 4, 18, 20, 10, 16, 1, 12, 22, 15, 9, 19, 2, 7, 13, 23, 6, 21, 8, 5, 0, 3, 17, 11, 14]
gen=12	fitness=787.105605694246	tour=[24, 4, 18, 20, 10, 16, 1, 12, 22, 15, 9, 19, 2, 7, 13, 23, 6, 21, 8, 5, 0, 3, 17, 11, 14]
gen=13	fitness=762.129999442708	tour=[18, 24, 4, 20, 10, 16, 1, 12, 22, 15, 9, 19, 2, 7, 0, 6, 23, 21, 5, 3, 11, 17, 8, 13, 14]
gen=14	fitness=755.433496824531	tour=[14, 18, 4, 20, 10, 16, 1, 12, 22, 15, 9, 19, 7, 2, 13, 3, 17, 6, 11, 23, 8, 0, 5, 21, 24]
gen=15	fitness=697.474784390570	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 0, 6, 23, 21, 5, 3, 11, 17, 8, 13, 22]
gen=16	fitness=697.474784390570	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 0, 6, 23, 21, 5, 3, 11, 17, 8, 13, 22]
gen=17	fitness=697.474784390570	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 0, 6, 23, 21, 5, 3, 11, 17, 8, 13, 22]
gen=18	fitness=671.934872457825	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 13, 6, 17, 3, 11, 23, 8, 0, 5, 21, 22]
gen=19	fitness=671.934872457825	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 13, 6, 17, 3, 11, 23, 8, 0, 5, 21, 22]
gen=20	fitness=671.934872457825	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 13, 6, 17, 3, 11, 23, 8, 0, 5, 21, 22]
gen=21	fitness=662.050448137124	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 13, 6, 17, 3, 11, 0, 23, 5, 22, 8, 21]
gen=22	fitness=662.050448137124	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 13, 6, 17, 3, 11, 0, 23, 5, 22, 8, 21]
gen=23	fitness=662.050448137124	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 13, 6, 17, 3, 11, 0, 23, 5, 22, 8, 21]
gen=24	fitness=643.991022275569	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 13, 6, 17, 3, 11, 23, 0, 5, 8, 21, 22]
gen=25	fitness=643.991022275569	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 13, 6, 17, 3, 11, 23, 0, 5, 8, 21, 22]
gen=26	fitness=643.991022275569	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 13, 6, 17, 3, 11, 23, 0, 5, 8, 21, 22]
gen=27	fitness=643.991022275569	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 13, 6, 17, 3, 11, 23, 0, 5, 8, 21, 22]
gen=28	fitness=641.713656467358	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 13, 6, 17, 3, 11, 23, 0, 5, 22, 8, 21]
gen=29	fitness=641.157965064106	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 13, 6, 17, 3, 11, 23, 0, 8, 21, 22, 5]
gen=30	fitness=631.439463025395	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 13, 6, 17, 3, 11, 23, 0, 8, 22, 21, 5]
gen=31	fitness=630.382716520564	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 13, 6, 17, 3, 11, 23, 0, 8, 22, 5, 21]
gen=32	fitness=630.382716520564	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 13, 6, 17, 3, 11, 23, 0, 8, 22, 5, 21]
gen=33	fitness=630.382716520564	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 13, 6, 17, 3, 11, 23, 0, 8, 22, 5, 21]
gen=34	fitness=630.382716520564	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 13, 6, 17, 3, 11, 23, 0, 8, 22, 5, 21]
gen=35	fitness=627.165637815232	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 0, 6, 17, 3, 11, 23, 5, 21, 8, 13, 22]
gen=36	fitness=627.165637815232	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 0, 6, 17, 3, 11, 23, 5, 21, 8, 13, 22]
gen=37	fitness=625.347609005032	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 0, 23, 17, 3, 11, 6, 21, 5, 8, 22, 13]
gen=38	fitness=621.487965597382	tour=[14, 18, 4, 20, 10, 16, 1, 12, 24, 15, 9, 19, 7, 2, 5, 6, 17, 3, 11, 23, 0, 8, 22, 13, 21]
