seed=29
gen=33	fitness=640.467694645280	tour=[20, 0, 11, 3, 6, 4, 16, 8, 7, 2, 1, 12, 10, 17, 23, 5, 21, 18, 14, 24, 15, 9, 19, 13, 22]
gen=34	fitness=640.467694645280	tour=[20, 0, 11, 3, 6, 4, 16, 8, 7, 2, 1, 12, 10, 17, 23, 5, 21, 18, 14, 24, 15, 9, 19, 13, 22]
gen=35	fitness=640.467694645280	tour=[20, 0, 11, 3, 6, 4, 16, 8, 7, 2, 1, 12, 10, 17, 23, 5, 21, 18, 14, 24, 15, 9, 19, 13, 22]
gen=36	fitness=639.935148763643	tour=[21, 0, 11, 3, 6, 4, 16, 8, 7, 2, 1, 12, 10, 17, 23, 5, 20, 18, 14, 24, 15, 9, 19, 13, 22]
gen=37	fitness=639.935148763643	tour=[21, 0, 11, 3, 6, 4, 16, 8, 7, 2, 1, 12, 10, 17, 23, 5, 20, 18, 14, 24, 15, 9, 19, 13, 22]
gen=38	fitness=630.545661624297	tour=[21, 0, 11, 3, 6, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 5, 4, 18, 14, 24, 15, 9, 19, 22, 13]
gen=39	fitness=610.446264439433	tour=[21, 0, 11, 3, 6, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 5, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=40	fitness=610.446264439433	tour=[21, 0, 11, 3, 6, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 5, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=41	fitness=606.883102210819	tour=[5, 0, 11, 3, 6, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 21, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=42	fitness=606.883102210819	tour=[5, 0, 11, 3, 6, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 21, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=43	fitness=592.682579921612	tour=[5, 0, 11, 3, 21, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=44	fitness=592.682579921612	tour=[5, 0, 11, 3, 21, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=45	fitness=592.682579921612	tour=[5, 0, 11, 3, 21, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=46	fitness=584.498523216858	tour=[21, 0, 11, 3, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=47	fitness=584.498523216858	tour=[21, 0, 11, 3, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=48	fitness=584.498523216858	tour=[21, 0, 11, 3, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=49	fitness=584.498523216858	tour=[21, 0, 11, 3, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=50	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=51	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=52	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=53	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=54	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=55	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
