seed=6
gen=63	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=64	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=65	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=66	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=67	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=68	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=69	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=70	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=71	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=72	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=73	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=74	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=75	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=76	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=77	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=78	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=79	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=80	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=81	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=82	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=83	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=84	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=85	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=86	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=87	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=88	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=89	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=90	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=91	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=92	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=93	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=94	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=95	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=96	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=97	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=98	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=99	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=100	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=101	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=102	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=103	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=104	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=105	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=106	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=107	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=108	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=109	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=110	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=111	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=112	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=113	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=114	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=115	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
