seed=3
gen=151	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=152	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=153	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=154	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=155	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=156	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=157	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=158	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=159	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=160	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=161	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=162	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=163	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=164	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=165	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=166	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=167	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=168	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=169	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=170	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=171	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=172	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=173	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=174	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
gen=175	fitness=0.000014883673	chromosome=11010101010001101000111000101111	decoded=[2.998009, 0.498718]
