seed=32
gen=40	fitness=48.043629124345	position=[0.872221, 1.937655, -0.855379, 1.152231, 0.721098, 1.043395, -0.082645, 1.046203, 1.944032, -0.226123]
gen=41	fitness=48.043629124345	position=[0.872221, 1.937655, -0.855379, 1.152231, 0.721098, 1.043395, -0.082645, 1.046203, 1.944032, -0.226123]
gen=42	fitness=48.043629124345	position=[0.872221, 1.937655, -0.855379, 1.152231, 0.721098, 1.043395, -0.082645, 1.046203, 1.944032, -0.226123]
gen=43	fitness=48.043629124345	position=[0.872221, 1.937655, -0.855379, 1.152231, 0.721098, 1.043395, -0.082645, 1.046203, 1.944032, -0.226123]
gen=44	fitness=48.043629124345	position=[0.872221, 1.937655, -0.855379, 1.152231, 0.721098, 1.043395, -0.082645, 1.046203, 1.944032, -0.226123]
gen=45	fitness=48.043629124345	position=[0.872221, 1.937655, -0.855379, 1.152231, 0.721098, 1.043395, -0.082645, 1.046203, 1.944032, -0.226123]
gen=46	fitness=48.043629124345	position=[0.872221, 1.937655, -0.855379, 1.152231, 0.721098, 1.043395, -0.082645, 1.046203, 1.944032, -0.226123]
gen=47	fitness=48.043629124345	position=[0.872221, 1.937655, -0.855379, 1.152231, 0.721098, 1.043395, -0.082645, 1.046203, 1.944032, -0.226123]
gen=48	fitness=48.043629124345	position=[0.872221, 1.937655, -0.855379, 1.152231, 0.721098, 1.043395, -0.082645, 1.046203, 1.944032, -0.226123]
gen=49	fitness=48.043629124345	position=[0.872221, 1.937655, -0.855379, 1.152231, 0.721098, 1.043395, -0.082645, 1.046203, 1.944032, -0.226123]
gen=50	fitness=48.043629124345	position=[0.872221, 1.937655, -0.855379, 1.152231, 0.721098, 1.043395, -0.082645, 1.046203, 1.944032, -0.226123]
gen=51	fitness=48.043629124345	position=[0.872221, 1.937655, -0.855379, 1.152231, 0.721098, 1.043395, -0.082645, 1.046203, 1.944032, -0.226123]
gen=52	fitness=48.043629124345	position=[0.872221, 1.937655, -0.855379, 1.152231, 0.721098, 1.043395, -0.082645, 1.046203, 1.944032, -0.226123]
gen=53	fitness=48.043629124345	position=[0.872221, 1.937655, -0.855379, 1.152231, 0.721098, 1.043395, -0.082645, 1.046203, 1.944032, -0.226123]
gen=54	fitness=48.043629124345	position=[0.872221, 1.937655, -0.855379, 1.152231, 0.721098, 1.043395, -0.082645, 1.046203, 1.944032, -0.226123]
gen=55	fitness=48.043629124345	position=[0.872221, 1.937655, -0.855379, 1.152231, 0.721098, 1.043395, -0.082645, 1.046203, 1.944032, -0.226123]
gen=56	fitness=48.043629124345	position=[0.872221, 1.937655, -0.855379, 1.152231, 0.721098, 1.043395, -0.082645, 1.046203, 1.944032, -0.226123]
gen=57	fitness=48.043629124345	position=[0.872221, 1.937655, -0.855379, 1.152231, 0.721098, 1.043395, -0.082645, 1.046203, 1.944032, -0.226123]
gen=58	fitness=48.043629124345	position=[0.872221, 1.937655, -0.855379, 1.152231, 0.721098, 1.043395, -0.082645, 1.046203, 1.944032, -0.226123]
gen=59	fitness=48.043629124345	position=[0.872221, 1.937655, -0.855379, 1.152231, 0.721098, 1.043395, -0.082645, 1.046203, 1.944032, -0.226123]
gen=60	fitness=48.043629124345	position=[0.872221, 1.937655, -0.855379, 1.152231, 0.721098, 1.043395, -0.082645, 1.046203, 1.944032, -0.226123]
gen=61	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=62	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=63	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=64	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
