seed=26
gen=39	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=40	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=41	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=42	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=43	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=44	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=45	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=46	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=47	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=48	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=49	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=50	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=51	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=52	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=53	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=54	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=55	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=56	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=57	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=58	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=59	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=60	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=61	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=62	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=63	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=64	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=65	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=66	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=67	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=68	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=69	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=70	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=71	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=72	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=73	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=74	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=75	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=76	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=77	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=78	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=79	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=80	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=81	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=82	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=83	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=84	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=85	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=86	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=87	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=88	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=89	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=90	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=91	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=92	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=93	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=94	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=95	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=96	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=97	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=98	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=99	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=100	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=101	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=102	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=103	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=104	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=105	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=106	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=107	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=108	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=109	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=110	fitness=38.241117075201	position=[0.148110, -0.969740, -1.054995, -0.157196, -1.911452, 1.109359, 1.126110, 0.945319, -0.953286, 0.740798]
gen=111	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=112	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=113	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=114	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=115	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=116	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=117	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=118	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=119	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=120	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=121	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=122	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=123	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=124	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=125	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=126	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=127	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
gen=128	fitness=26.890906577371	position=[0.899841, 0.949696, -0.187046, 0.983872, -1.954353, -0.038950, -0.939589, 2.044808, 0.118797, 0.107245]
