seed=13
gen=0	fitness=1.958284885759	position=[-1.144314, 1.618632]
gen=1	fitness=0.310010069962	position=[2.180526, 0.285829]
gen=2	fitness=0.093716660827	position=[4.120711, 0.666380]
gen=3	fitness=0.093716660827	position=[4.120711, 0.666380]
gen=4	fitness=0.063478454871	position=[3.599143, 0.590667]
gen=5	fitness=0.057416494338	position=[3.076183, 0.469301]
gen=6	fitness=0.051036505252	position=[3.702853, 0.617547]
gen=7	fitness=0.051036505252	position=[3.702853, 0.617547]
gen=8	fitness=0.016665295064	position=[3.240392, 0.536400]
gen=9	fitness=0.003297526955	position=[3.104465, 0.532847]
gen=10	fitness=0.001960791617	position=[3.116893, 0.528747]
gen=11	fitness=0.001165662628	position=[2.934100, 0.478742]
gen=12	fitness=0.000678324915	position=[3.066261, 0.516977]
gen=13	fitness=0.000678324915	position=[3.066261, 0.516977]
gen=14	fitness=0.000478245140	position=[3.020367, 0.509169]
gen=15	fitness=0.000476171139	position=[3.054390, 0.512084]
gen=16	fitness=0.000063803946	position=[3.016462, 0.503105]
gen=17	fitness=0.000063803946	position=[3.016462, 0.503105]
gen=18	fitness=0.000012724126	position=[3.007492, 0.501447]
gen=19	fitness=0.000012724126	position=[3.007492, 0.501447]
gen=20	fitness=0.000012724126	position=[3.007492, 0.501447]
gen=21	fitness=0.000000785827	position=[3.001070, 0.500104]
gen=22	fitness=0.000000785827	position=[3.001070, 0.500104]
gen=23	fitness=0.000000785827	position=[3.001070, 0.500104]
gen=24	fitness=0.000000785827	position=[3.001070, 0.500104]
gen=25	fitness=0.000000785827	position=[3.001070, 0.500104]
gen=26	fitness=0.000000156809	position=[2.999057, 0.499791]
gen=27	fitness=0.000000156809	position=[2.999057, 0.499791]
gen=28	fitness=0.000000081939	position=[3.000490, 0.500078]
gen=29	fitness=0.000000081939	position=[3.000490, 0.500078]
gen=30	fitness=0.000000081939	position=[3.000490, 0.500078]
gen=31	fitness=0.000000014178	position=[3.000134, 0.500011]
gen=32	fitness=0.000000004499	position=[2.999903, 0.499987]
gen=33	fitness=0.000000002277	position=[2.999944, 0.499995]
gen=34	fitness=0.000000002084	position=[3.000067, 0.500024]
gen=35	fitness=0.000000000054	position=[2.999998, 0.500001]
gen=36	fitness=0.000000000054	position=[2.999998, 0.500001]
gen=37	fitness=0.000000000054	position=[2.999998, 0.500001]
gen=38	fitness=0.000000000024	position=[3.000000, 0.500001]
gen=39	fitness=0.000000000016	position=[2.999991, 0.499998]
gen=40	fitness=0.000000000016	position=[2.999991, 0.499998]
gen=41	fitness=0.000000000001	position=[2.999998, 0.499999]
gen=42	fitness=0.000000000000	position=[2.999999, 0.500000]
gen=43	fitness=0.000000000000	position=[2.999999, 0.500000]
gen=44	fitness=0.000000000000	position=[2.999999, 0.500000]
gen=45	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=46	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=47	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=48	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=49	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=50	fitness=0.000000000000	position=[3.000000, 0.500000]
