seed=14
gen=0	fitness=2.390703046323	position=[-0.394904, 2.110412]
gen=1	fitness=0.691983342951	position=[2.977831, 0.288563]
gen=2	fitness=0.691983342951	position=[2.977831, 0.288563]
gen=3	fitness=0.691983342951	position=[2.977831, 0.288563]
gen=4	fitness=0.691983342951	position=[2.977831, 0.288563]
gen=5	fitness=0.081068999010	position=[2.750026, 0.492881]
gen=6	fitness=0.081068999010	position=[2.750026, 0.492881]
gen=7	fitness=0.003961159022	position=[3.015372, 0.490739]
gen=8	fitness=0.003961159022	position=[3.015372, 0.490739]
gen=9	fitness=0.003961159022	position=[3.015372, 0.490739]
gen=10	fitness=0.003961159022	position=[3.015372, 0.490739]
gen=11	fitness=0.003961159022	position=[3.015372, 0.490739]
gen=12	fitness=0.001372275050	position=[2.929840, 0.487053]
gen=13	fitness=0.000504425198	position=[2.978923, 0.499101]
gen=14	fitness=0.000455476970	position=[3.051220, 0.513972]
gen=15	fitness=0.000455476970	position=[3.051220, 0.513972]
gen=16	fitness=0.000028147178	position=[2.999596, 0.498794]
gen=17	fitness=0.000028147178	position=[2.999596, 0.498794]
gen=18	fitness=0.000028147178	position=[2.999596, 0.498794]
gen=19	fitness=0.000028147178	position=[2.999596, 0.498794]
gen=20	fitness=0.000028147178	position=[2.999596, 0.498794]
gen=21	fitness=0.000015263209	position=[2.999055, 0.500575]
gen=22	fitness=0.000000618218	position=[3.000541, 0.499977]
gen=23	fitness=0.000000618218	position=[3.000541, 0.499977]
gen=24	fitness=0.000000618218	position=[3.000541, 0.499977]
gen=25	fitness=0.000000618218	position=[3.000541, 0.499977]
gen=26	fitness=0.000000516138	position=[3.001340, 0.500432]
gen=27	fitness=0.000000516138	position=[3.001340, 0.500432]
gen=28	fitness=0.000000060268	position=[2.999583, 0.499859]
gen=29	fitness=0.000000008857	position=[3.000154, 0.500053]
gen=30	fitness=0.000000008857	position=[3.000154, 0.500053]
gen=31	fitness=0.000000008857	position=[3.000154, 0.500053]
gen=32	fitness=0.000000002746	position=[2.999875, 0.499966]
