seed=2
gen=103	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=104	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=105	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=106	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=107	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=108	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=109	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=110	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=111	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=112	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=113	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=114	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=115	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=116	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=117	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=118	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=119	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=120	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=121	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=122	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=123	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=124	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=125	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=126	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=127	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=128	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=129	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=130	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=131	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=132	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=133	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=134	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=135	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=136	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=137	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=138	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=139	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=140	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=141	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=142	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=143	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=144	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=145	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=146	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=147	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=148	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=149	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=150	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=151	fitness=0.000008424558	position=[3.007110, 0.501888]
