seed=6
gen=0	fitness=0.711555341449	position=[2.664890, 0.150180]
gen=1	fitness=0.050650388135	position=[3.455359, 0.620238]
gen=2	fitness=0.038211688401	position=[3.510586, 0.620238]
gen=3	fitness=0.019189814081	position=[2.709047, 0.422192]
gen=4	fitness=0.019189814081	position=[2.709047, 0.422192]
gen=5	fitness=0.019189814081	position=[2.709047, 0.422192]
gen=6	fitness=0.010794473376	position=[2.813975, 0.464924]
gen=7	fitness=0.001767029359	position=[3.072374, 0.511136]
gen=8	fitness=0.000325524718	position=[3.036454, 0.511136]
gen=9	fitness=0.000325524718	position=[3.036454, 0.511136]
gen=10	fitness=0.000325524718	position=[3.036454, 0.511136]
gen=11	fitness=0.000325524718	position=[3.036454, 0.511136]
gen=12	fitness=0.000325524718	position=[3.036454, 0.511136]
gen=13	fitness=0.000325524718	position=[3.036454, 0.511136]
gen=14	fitness=0.000325524718	position=[3.036454, 0.511136]
gen=15	fitness=0.000211708897	position=[3.036454, 0.508352]
gen=16	fitness=0.000211708897	position=[3.036454, 0.508352]
gen=17	fitness=0.000211708897	position=[3.036454, 0.508352]
gen=18	fitness=0.000211708897	position=[3.036454, 0.508352]
gen=19	fitness=0.000211708897	position=[3.036454, 0.508352]
gen=20	fitness=0.000211708897	position=[3.036454, 0.508352]
gen=21	fitness=0.000211708897	position=[3.036454, 0.508352]
gen=22	fitness=0.000211708897	position=[3.036454, 0.508352]
gen=23	fitness=0.000211708897	position=[3.036454, 0.508352]
gen=24	fitness=0.000211708897	position=[3.036454, 0.508352]
gen=25	fitness=0.000211708897	position=[3.036454, 0.508352]
gen=26	fitness=0.000211708897	position=[3.036454, 0.508352]
gen=27	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=28	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=29	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=30	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=31	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=32	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=33	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=34	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=35	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=36	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=37	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=38	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=39	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=40	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=41	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=42	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=43	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=44	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=45	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=46	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=47	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=48	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=49	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=50	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=51	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=52	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=53	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=54	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=55	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=56	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=57	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=58	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=59	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=60	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=61	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=62	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=63	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=64	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=65	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=66	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=67	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=68	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=69	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=70	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=71	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=72	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=73	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=74	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=75	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=76	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=77	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=78	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=79	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=80	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=81	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=82	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=83	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=84	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=85	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=86	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=87	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=88	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=89	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=90	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=91	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=92	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=93	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=94	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=95	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=96	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=97	fitness=0.000006861414	position=[2.993768, 0.498613]
gen=98	fitness=0.000006861414	position=[2.993768, 0.498613]
