seed=7
gen=103	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=104	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=105	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=106	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=107	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=108	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=109	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=110	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=111	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=112	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=113	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=114	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=115	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=116	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=117	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=118	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=119	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=120	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=121	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=122	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=123	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=124	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=125	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=126	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=127	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=128	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=129	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=130	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=131	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=132	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=133	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=134	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=135	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=136	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=137	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=138	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=139	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=140	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=141	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=142	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=143	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=144	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=145	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=146	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=147	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=148	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=149	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=150	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=151	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=152	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=153	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=154	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=155	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=156	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=157	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=158	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=159	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=160	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=161	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=162	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=163	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=164	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=165	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=166	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=167	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=168	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=169	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=170	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=171	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=172	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=173	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=174	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=175	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=176	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=177	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=178	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=179	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=180	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=181	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=182	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=183	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=184	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=185	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=186	fitness=0.000049758083	position=[3.015692, 0.503181]
