seed=31
gen=0	fitness=510.007972090659	tour=[15, 20, 24, 8, 4, 14, 19, 13, 0, 12, 6, 5, 22, 17, 23, 18, 16, 10, 2, 3, 9, 21, 11, 1, 7]
gen=1	fitness=475.367909851505	tour=[15, 20, 16, 24, 3, 4, 1, 7, 8, 11, 10, 21, 6, 18, 23, 22, 17, 12, 2, 9, 19, 13, 14, 0, 5]
gen=2	fitness=460.172022602760	tour=[15, 20, 16, 24, 3, 4, 1, 7, 2, 12, 6, 23, 19, 17, 18, 22, 21, 9, 14, 13, 8, 10, 5, 0, 11]
gen=3	fitness=457.149365700238	tour=[15, 20, 16, 24, 3, 4, 1, 7, 2, 11, 10, 21, 6, 18, 23, 22, 17, 12, 8, 9, 19, 13, 14, 0, 5]
gen=4	fitness=457.149365700238	tour=[15, 20, 16, 24, 3, 4, 1, 7, 2, 11, 10, 21, 6, 18, 23, 22, 17, 12, 8, 9, 19, 13, 14, 0, 5]
gen=5	fitness=444.304013428878	tour=[15, 20, 16, 24, 3, 4, 1, 7, 8, 6, 5, 0, 12, 18, 23, 22, 19, 14, 9, 13, 2, 21, 17, 10, 11]
gen=6	fitness=444.304013428878	tour=[15, 20, 16, 24, 3, 4, 1, 7, 8, 6, 5, 0, 12, 18, 23, 22, 19, 14, 9, 13, 2, 21, 17, 10, 11]
gen=7	fitness=444.304013428878	tour=[15, 20, 16, 24, 3, 4, 1, 7, 8, 6, 5, 0, 12, 18, 23, 22, 19, 14, 9, 13, 2, 21, 17, 10, 11]
gen=8	fitness=444.304013428878	tour=[15, 20, 16, 24, 3, 4, 1, 7, 8, 6, 5, 0, 12, 18, 23, 22, 19, 14, 9, 13, 2, 21, 17, 10, 11]
gen=9	fitness=444.304013428878	tour=[15, 20, 16, 24, 3, 4, 1, 7, 8, 6, 5, 0, 12, 18, 23, 22, 19, 14, 9, 13, 2, 21, 17, 10, 11]
gen=10	fitness=436.757645354730	tour=[16, 20, 15, 24, 3, 4, 1, 7, 8, 6, 5, 0, 12, 18, 23, 22, 19, 14, 9, 2, 13, 17, 10, 11, 21]
gen=11	fitness=431.291501323969	tour=[15, 20, 16, 24, 3, 4, 1, 7, 8, 6, 5, 0, 12, 18, 23, 22, 19, 14, 9, 2, 13, 17, 10, 11, 21]
gen=12	fitness=431.291501323969	tour=[15, 20, 16, 24, 3, 4, 1, 7, 8, 6, 5, 0, 12, 18, 23, 22, 19, 14, 9, 2, 13, 17, 10, 11, 21]
gen=13	fitness=431.291501323969	tour=[15, 20, 16, 24, 3, 4, 1, 7, 8, 6, 5, 0, 12, 18, 23, 22, 19, 14, 9, 2, 13, 17, 10, 11, 21]
gen=14	fitness=425.433636947700	tour=[15, 20, 16, 24, 3, 4, 1, 7, 8, 6, 5, 0, 12, 18, 23, 22, 19, 14, 9, 2, 13, 17, 21, 10, 11]
gen=15	fitness=424.788685925240	tour=[21, 20, 16, 24, 3, 4, 1, 7, 8, 6, 5, 0, 12, 18, 23, 22, 19, 14, 9, 2, 13, 17, 15, 10, 11]
gen=16	fitness=422.615509731000	tour=[21, 20, 15, 24, 3, 4, 1, 7, 8, 6, 5, 0, 12, 18, 23, 22, 19, 14, 9, 2, 13, 17, 10, 11, 16]
gen=17	fitness=411.384453474823	tour=[15, 20, 21, 24, 3, 4, 1, 7, 8, 6, 5, 0, 12, 18, 23, 22, 19, 14, 9, 2, 13, 17, 10, 11, 16]
gen=18	fitness=407.308044947287	tour=[15, 20, 21, 24, 3, 4, 1, 7, 8, 6, 5, 0, 12, 18, 23, 22, 19, 14, 9, 2, 13, 17, 16, 10, 11]
gen=19	fitness=407.308044947287	tour=[15, 20, 21, 24, 3, 4, 1, 7, 8, 6, 5, 0, 12, 18, 23, 22, 19, 14, 9, 2, 13, 17, 16, 10, 11]
