seed=27
gen=0	fitness=500.386751238178	tour=[11, 7, 16, 20, 0, 3, 4, 13, 17, 12, 10, 5, 2, 1, 22, 23, 24, 19, 6, 8, 9, 14, 15, 18, 21]
gen=1	fitness=472.421124842790	tour=[11, 7, 16, 20, 0, 3, 4, 13, 18, 6, 5, 15, 10, 21, 17, 22, 24, 19, 8, 9, 23, 12, 14, 2, 1]
gen=2	fitness=472.421124842790	tour=[11, 7, 16, 20, 0, 3, 4, 13, 18, 6, 5, 15, 10, 21, 17, 22, 24, 19, 8, 9, 23, 12, 14, 2, 1]
gen=3	fitness=463.297830605732	tour=[11, 17, 6, 7, 0, 3, 4, 13, 18, 8, 5, 15, 10, 23, 24, 19, 20, 16, 21, 22, 14, 9, 12, 2, 1]
gen=4	fitness=456.076988691110	tour=[11, 17, 16, 20, 0, 3, 4, 13, 18, 6, 5, 15, 10, 21, 22, 2, 12, 8, 19, 23, 24, 14, 9, 7, 1]
gen=5	fitness=441.077239778338	tour=[2, 0, 16, 20, 17, 3, 4, 13, 18, 6, 5, 15, 10, 21, 22, 11, 12, 8, 7, 24, 23, 19, 14, 9, 1]
gen=6	fitness=441.077239778338	tour=[2, 0, 16, 20, 17, 3, 4, 13, 18, 6, 5, 15, 10, 21, 22, 11, 12, 8, 7, 24, 23, 19, 14, 9, 1]
gen=7	fitness=414.202580691523	tour=[2, 0, 16, 20, 11, 3, 4, 13, 18, 6, 5, 15, 10, 21, 22, 17, 12, 8, 19, 23, 24, 14, 9, 7, 1]
gen=8	fitness=414.202580691523	tour=[2, 0, 16, 20, 11, 3, 4, 13, 18, 6, 5, 15, 10, 21, 22, 17, 12, 8, 19, 23, 24, 14, 9, 7, 1]
gen=9	fitness=414.202580691523	tour=[2, 0, 16, 20, 11, 3, 4, 13, 18, 6, 5, 15, 10, 21, 22, 17, 12, 8, 19, 23, 24, 14, 9, 7, 1]
gen=10	fitness=414.202580691523	tour=[2, 0, 16, 20, 11, 3, 4, 13, 18, 6, 5, 15, 10, 21, 22, 17, 12, 8, 19, 23, 24, 14, 9, 7, 1]
