seed=34
gen=0	fitness=498.625584984671	tour=[7, 5, 0, 10, 16, 22, 24, 12, 18, 23, 9, 6, 1, 4, 11, 15, 20, 21, 8, 13, 14, 3, 17, 19, 2]
gen=1	fitness=451.262676990260	tour=[7, 5, 0, 10, 16, 22, 24, 12, 18, 23, 9, 6, 11, 3, 8, 14, 19, 17, 15, 20, 21, 1, 2, 4, 13]
gen=2	fitness=451.262676990260	tour=[7, 5, 0, 10, 16, 22, 24, 12, 18, 23, 9, 6, 11, 3, 8, 14, 19, 17, 15, 20, 21, 1, 2, 4, 13]
gen=3	fitness=451.262676990260	tour=[7, 5, 0, 10, 16, 22, 24, 12, 18, 23, 9, 6, 11, 3, 8, 14, 19, 17, 15, 20, 21, 1, 2, 4, 13]
gen=4	fitness=451.262676990260	tour=[7, 5, 0, 10, 16, 22, 24, 12, 18, 23, 9, 6, 11, 3, 8, 14, 19, 17, 15, 20, 21, 1, 2, 4, 13]
gen=5	fitness=451.262676990260	tour=[7, 5, 0, 10, 16, 22, 24, 12, 18, 23, 9, 6, 11, 3, 8, 14, 19, 17, 15, 20, 21, 1, 2, 4, 13]
gen=6	fitness=451.262676990260	tour=[7, 5, 0, 10, 16, 22, 24, 12, 18, 23, 9, 6, 11, 3, 8, 14, 19, 17, 15, 20, 21, 1, 2, 4, 13]
gen=7	fitness=450.126172163987	tour=[7, 5, 0, 10, 16, 22, 24, 12, 18, 23, 9, 6, 11, 3, 4, 13, 19, 15, 20, 21, 17, 14, 8, 1, 2]
gen=8	fitness=450.126172163987	tour=[7, 5, 0, 10, 16, 22, 24, 12, 18, 23, 9, 6, 11, 3, 4, 13, 19, 15, 20, 21, 17, 14, 8, 1, 2]
gen=9	fitness=448.251764164400	tour=[1, 5, 0, 10, 16, 22, 24, 12, 18, 23, 9, 6, 11, 3, 4, 13, 19, 14, 7, 21, 15, 20, 17, 8, 2]
gen=10	fitness=420.366094569897	tour=[1, 5, 0, 10, 16, 22, 24, 12, 18, 23, 9, 13, 8, 3, 4, 14, 19, 11, 6, 7, 2, 17, 20, 21, 15]
gen=11	fitness=420.366094569897	tour=[1, 5, 0, 10, 16, 22, 24, 12, 18, 23, 9, 13, 8, 3, 4, 14, 19, 11, 6, 7, 2, 17, 20, 21, 15]
gen=12	fitness=420.366094569897	tour=[1, 5, 0, 10, 16, 22, 24, 12, 18, 23, 9, 13, 8, 3, 4, 14, 19, 11, 6, 7, 2, 17, 20, 21, 15]
gen=13	fitness=419.628191396583	tour=[1, 5, 0, 10, 16, 22, 24, 12, 18, 23, 9, 13, 8, 3, 4, 14, 19, 11, 6, 2, 7, 21, 20, 15, 17]
gen=14	fitness=396.580286571586	tour=[1, 5, 0, 10, 16, 22, 24, 12, 18, 23, 9, 13, 8, 3, 4, 14, 19, 11, 17, 21, 20, 15, 2, 7, 6]
gen=15	fitness=396.580286571586	tour=[1, 5, 0, 10, 16, 22, 24, 12, 18, 23, 9, 13, 8, 3, 4, 14, 19, 11, 17, 21, 20, 15, 2, 7, 6]
gen=16	fitness=396.580286571586	tour=[1, 5, 0, 10, 16, 22, 24, 12, 18, 23, 9, 13, 8, 3, 4, 14, 19, 11, 17, 21, 20, 15, 2, 7, 6]
gen=17	fitness=391.169724839406	tour=[1, 5, 0, 10, 16, 22, 24, 12, 18, 23, 9, 13, 8, 3, 4, 14, 19, 11, 17, 21, 20, 15, 6, 2, 7]
gen=18	fitness=391.169724839406	tour=[1, 5, 0, 10, 16, 22, 24, 12, 18, 23, 9, 13, 8, 3, 4, 14, 19, 11, 17, 21, 20, 15, 6, 2, 7]
gen=19	fitness=382.885453591944	tour=[1, 5, 0, 10, 16, 22, 24, 12, 18, 23, 9, 13, 8, 3, 4, 14, 19, 11, 17, 21, 20, 15, 6, 7, 2]
