seed=25
gen=0	fitness=528.251764164400	tour=[0, 23, 24, 21, 19, 14, 18, 9, 17, 5, 6, 20, 15, 22, 16, 1, 3, 7, 11, 10, 4, 12, 13, 8, 2]
gen=1	fitness=459.520190272849	tour=[0, 6, 23, 22, 24, 14, 9, 21, 20, 15, 1, 2, 13, 12, 17, 16, 7, 19, 18, 10, 5, 11, 8, 4, 3]
gen=2	fitness=434.891782873707	tour=[0, 6, 18, 22, 24, 23, 10, 5, 9, 8, 11, 16, 17, 12, 7, 2, 1, 15, 20, 21, 13, 14, 19, 4, 3]
gen=3	fitness=423.623356765258	tour=[0, 6, 18, 22, 23, 24, 10, 5, 8, 9, 17, 16, 11, 12, 7, 2, 1, 15, 20, 21, 13, 19, 14, 4, 3]
gen=4	fitness=397.120541366529	tour=[0, 6, 18, 24, 23, 22, 10, 5, 8, 9, 13, 16, 11, 12, 7, 2, 1, 15, 20, 21, 17, 19, 14, 4, 3]
gen=5	fitness=392.819726495749	tour=[0, 5, 16, 24, 23, 22, 10, 6, 8, 9, 13, 17, 11, 12, 7, 2, 1, 15, 20, 21, 18, 19, 14, 4, 3]
gen=6	fitness=373.557629669063	tour=[0, 5, 10, 24, 23, 22, 16, 12, 8, 9, 13, 17, 11, 6, 7, 2, 1, 15, 20, 21, 18, 19, 14, 4, 3]
gen=7	fitness=360.551998871606	tour=[0, 5, 10, 18, 23, 22, 16, 17, 8, 9, 13, 12, 11, 6, 1, 2, 7, 15, 20, 21, 24, 19, 14, 4, 3]
gen=8	fitness=360.551998871606	tour=[0, 5, 10, 18, 23, 22, 16, 17, 8, 9, 13, 12, 11, 6, 1, 2, 7, 15, 20, 21, 24, 19, 14, 4, 3]
gen=9	fitness=360.551998871606	tour=[0, 5, 10, 18, 23, 22, 16, 17, 8, 9, 13, 12, 11, 6, 1, 2, 7, 15, 20, 21, 24, 19, 14, 4, 3]
gen=10	fitness=360.551998871606	tour=[0, 5, 10, 18, 23, 22, 16, 17, 8, 9, 13, 12, 11, 6, 1, 2, 7, 15, 20, 21, 24, 19, 14, 4, 3]
gen=11	fitness=347.792717443648	tour=[0, 1, 16, 10, 5, 6, 3, 4, 9, 19, 24, 23, 18, 22, 21, 17, 20, 15, 11, 12, 7, 8, 14, 13, 2]
gen=12	fitness=329.574173292381	tour=[0, 1, 16, 10, 5, 2, 3, 4, 9, 14, 8, 7, 12, 11, 15, 20, 22, 21, 17, 18, 23, 24, 19, 13, 6]
gen=13	fitness=309.574173292381	tour=[0, 1, 5, 10, 11, 2, 3, 4, 9, 14, 8, 7, 12, 16, 15, 20, 22, 21, 17, 18, 23, 24, 19, 13, 6]
gen=14	fitness=295.432037668651	tour=[0, 1, 5, 10, 11, 2, 3, 4, 9, 14, 8, 7, 12, 16, 15, 20, 21, 22, 17, 18, 23, 24, 19, 13, 6]
gen=15	fitness=295.432037668651	tour=[0, 1, 5, 10, 11, 2, 3, 4, 9, 14, 8, 7, 12, 16, 15, 20, 21, 22, 17, 18, 23, 24, 19, 13, 6]
gen=16	fitness=295.432037668651	tour=[0, 1, 5, 10, 11, 2, 3, 4, 9, 14, 8, 7, 12, 16, 15, 20, 21, 22, 17, 18, 23, 24, 19, 13, 6]
gen=17	fitness=295.432037668651	tour=[0, 1, 5, 10, 11, 2, 3, 4, 9, 14, 8, 7, 12, 16, 15, 20, 21, 22, 17, 18, 23, 24, 19, 13, 6]
gen=18	fitness=295.432037668651	tour=[0, 1, 5, 10, 11, 2, 3, 4, 9, 14, 8, 7, 12, 16, 15, 20, 21, 22, 17, 18, 23, 24, 19, 13, 6]
gen=19	fitness=295.432037668651	tour=[0, 1, 5, 10, 11, 2, 3, 4, 9, 14, 8, 7, 12, 16, 15, 20, 21, 22, 17, 18, 23, 24, 19, 13, 6]
gen=20	fitness=292.360679774998	tour=[0, 2, 3, 4, 13, 18, 17, 22, 23, 24, 19, 14, 9, 8, 7, 12, 11, 6, 5, 10, 15, 20, 21, 16, 1]
gen=21	fitness=292.360679774998	tour=[0, 2, 3, 4, 13, 18, 17, 22, 23, 24, 19, 14, 9, 8, 7, 12, 11, 6, 5, 10, 15, 20, 21, 16, 1]
gen=22	fitness=292.360679774998	tour=[0, 2, 3, 4, 13, 18, 17, 22, 23, 24, 19, 14, 9, 8, 7, 12, 11, 6, 5, 10, 15, 20, 21, 16, 1]
gen=23	fitness=292.360679774998	tour=[0, 2, 3, 4, 13, 18, 17, 22, 23, 24, 19, 14, 9, 8, 7, 12, 11, 6, 5, 10, 15, 20, 21, 16, 1]
gen=24	fitness=292.360679774998	tour=[0, 2, 3, 4, 13, 18, 17, 22, 23, 24, 19, 14, 9, 8, 7, 12, 11, 6, 5, 10, 15, 20, 21, 16, 1]
gen=25	fitness=292.360679774998	tour=[0, 2, 3, 4, 13, 18, 17, 22, 23, 24, 19, 14, 9, 8, 7, 12, 11, 6, 5, 10, 15, 20, 21, 16, 1]
gen=26	fitness=292.360679774998	tour=[0, 2, 3, 4, 13, 18, 17, 22, 23, 24, 19, 14, 9, 8, 7, 12, 11, 6, 5, 10, 15, 20, 21, 16, 1]
gen=27	fitness=292.360679774998	tour=[0, 2, 3, 4, 13, 18, 17, 22, 23, 24, 19, 14, 9, 8, 7, 12, 11, 6, 5, 10, 15, 20, 21, 16, 1]
gen=28	fitness=292.360679774998	tour=[0, 2, 3, 4, 13, 18, 17, 22, 23, 24, 19, 14, 9, 8, 7, 12, 11, 6, 5, 10, 15, 20, 21, 16, 1]
