seed=29
gen=0	fitness=516.098931717367	tour=[0, 5, 6, 16, 22, 23, 21, 3, 9, 18, 11, 20, 15, 17, 14, 24, 13, 2, 8, 7, 12, 10, 1, 19, 4]
gen=1	fitness=441.170191929192	tour=[0, 5, 6, 11, 22, 23, 17, 3, 9, 18, 21, 20, 15, 16, 14, 24, 19, 2, 8, 7, 12, 10, 13, 4, 1]
gen=2	fitness=401.908095102506	tour=[0, 5, 6, 11, 22, 23, 17, 8, 4, 9, 18, 20, 15, 16, 21, 24, 19, 2, 3, 14, 13, 7, 12, 10, 1]
gen=3	fitness=372.066774349555	tour=[0, 5, 10, 11, 22, 23, 18, 13, 4, 9, 17, 20, 15, 16, 21, 24, 19, 2, 3, 14, 8, 7, 12, 6, 1]
gen=4	fitness=339.415494045332	tour=[0, 5, 10, 11, 22, 23, 21, 16, 15, 20, 17, 3, 4, 9, 18, 24, 19, 13, 14, 8, 2, 7, 12, 6, 1]
gen=5	fitness=327.345414799559	tour=[0, 5, 10, 11, 22, 23, 17, 16, 15, 20, 21, 8, 4, 9, 19, 24, 18, 13, 14, 3, 2, 7, 12, 6, 1]
gen=6	fitness=323.716308916112	tour=[0, 5, 10, 21, 22, 23, 17, 16, 15, 20, 11, 3, 4, 9, 19, 24, 18, 13, 14, 8, 2, 7, 12, 6, 1]
gen=7	fitness=317.858444539843	tour=[0, 5, 10, 21, 22, 23, 17, 16, 20, 15, 11, 3, 4, 9, 14, 13, 18, 24, 19, 8, 2, 7, 12, 6, 1]
gen=8	fitness=317.858444539843	tour=[0, 5, 10, 21, 22, 23, 17, 16, 20, 15, 11, 3, 4, 9, 14, 13, 18, 24, 19, 8, 2, 7, 12, 6, 1]
gen=9	fitness=317.858444539843	tour=[0, 5, 10, 21, 22, 23, 17, 16, 20, 15, 11, 3, 4, 9, 14, 13, 18, 24, 19, 8, 2, 7, 12, 6, 1]
gen=10	fitness=317.858444539843	tour=[0, 5, 10, 21, 22, 23, 17, 16, 20, 15, 11, 3, 4, 9, 14, 13, 18, 24, 19, 8, 2, 7, 12, 6, 1]
gen=11	fitness=317.858444539843	tour=[0, 5, 10, 21, 22, 23, 17, 16, 20, 15, 11, 3, 4, 9, 14, 13, 18, 24, 19, 8, 2, 7, 12, 6, 1]
gen=12	fitness=304.852813742386	tour=[0, 1, 6, 8, 3, 4, 9, 14, 2, 7, 11, 16, 21, 17, 12, 13, 18, 24, 19, 23, 22, 20, 15, 10, 5]
gen=13	fitness=294.049183472877	tour=[0, 1, 2, 8, 3, 4, 9, 14, 6, 7, 11, 16, 21, 17, 12, 13, 18, 19, 24, 23, 22, 20, 15, 10, 5]
gen=14	fitness=294.049183472877	tour=[0, 1, 2, 8, 3, 4, 9, 14, 6, 7, 11, 16, 21, 17, 12, 13, 18, 19, 24, 23, 22, 20, 15, 10, 5]
gen=15	fitness=294.049183472877	tour=[0, 1, 2, 8, 3, 4, 9, 14, 6, 7, 11, 16, 21, 17, 12, 13, 18, 19, 24, 23, 22, 20, 15, 10, 5]
gen=16	fitness=294.049183472877	tour=[0, 1, 2, 8, 3, 4, 9, 14, 6, 7, 11, 16, 21, 17, 12, 13, 18, 19, 24, 23, 22, 20, 15, 10, 5]
gen=17	fitness=294.049183472877	tour=[0, 1, 2, 8, 3, 4, 9, 14, 6, 7, 11, 16, 21, 17, 12, 13, 18, 19, 24, 23, 22, 20, 15, 10, 5]
gen=18	fitness=294.049183472877	tour=[0, 1, 2, 8, 3, 4, 9, 14, 6, 7, 11, 16, 21, 17, 12, 13, 18, 19, 24, 23, 22, 20, 15, 10, 5]
gen=19	fitness=280.644951022460	tour=[0, 5, 6, 7, 12, 19, 18, 17, 16, 11, 10, 15, 20, 21, 22, 23, 24, 14, 9, 13, 8, 4, 3, 2, 1]
gen=20	fitness=280.644951022460	tour=[0, 5, 6, 7, 12, 19, 18, 17, 16, 11, 10, 15, 20, 21, 22, 23, 24, 14, 9, 13, 8, 4, 3, 2, 1]
