seed=24
gen=22	fitness=22.061471499795	chromosome=0110010001011110011001100011011010011010001111111001100010100010100000001111010010011000100011001001100111001010100110111111101010010110011001111001110011000111	decoded=[-1.105251, -1.031500, 1.049938, 0.985406, 0.038204, 0.981968, 1.031656, 1.119158, 0.896186, 1.151189]
gen=23	fitness=22.061471499795	chromosome=0110010001011110011001100011011010011010001111111001100010100010100000001111010010011000100011001001100111001010100110111111101010010110011001111001110011000111	decoded=[-1.105251, -1.031500, 1.049938, 0.985406, 0.038204, 0.981968, 1.031656, 1.119158, 0.896186, 1.151189]
gen=24	fitness=20.853356252540	chromosome=0110011111010101100000101110110010011010101110000110001101010011100000001000111001111111110100010110101011010010100000000100100101001110101100111000000101011111	decoded=[-0.966655, 0.116955, 1.068844, -1.146971, 0.022266, -0.007266, -0.847122, 0.011485, -1.971983, 0.054923]
gen=25	fitness=20.853356252540	chromosome=0110011111010101100000101110110010011010101110000110001101010011100000001000111001111111110100010110101011010010100000000100100101001110101100111000000101011111	decoded=[-0.966655, 0.116955, 1.068844, -1.146971, 0.022266, -0.007266, -0.847122, 0.011485, -1.971983, 0.054923]
gen=26	fitness=19.419870392045	chromosome=0110011010010000100110001110001110011010000111110111110110001110100110011111110010011100010001011001100000111000100000100011111110011001010101010110001111000101	decoded=[-1.017437, 0.995562, 1.044938, -0.097736, 1.039469, 1.130877, 0.968843, 0.089923, 1.013375, -1.129158]
gen=27	fitness=19.419870392045	chromosome=0110011010010000100110001110001110011010000111110111110110001110100110011111110010011100010001011001100000111000100000100011111110011001010101010110001111000101	decoded=[-1.017437, 0.995562, 1.044938, -0.097736, 1.039469, 1.130877, 0.968843, 0.089923, 1.013375, -1.129158]
gen=28	fitness=19.419870392045	chromosome=0110011010010000100110001110001110011010000111110111110110001110100110011111110010011100010001011001100000111000100000100011111110011001010101010110001111000101	decoded=[-1.017437, 0.995562, 1.044938, -0.097736, 1.039469, 1.130877, 0.968843, 0.089923, 1.013375, -1.129158]
gen=29	fitness=19.419870392045	chromosome=0110011010010000100110001110001110011010000111110111110110001110100110011111110010011100010001011001100000111000100000100011111110011001010101010110001111000101	decoded=[-1.017437, 0.995562, 1.044938, -0.097736, 1.039469, 1.130877, 0.968843, 0.089923, 1.013375, -1.129158]
gen=30	fitness=19.419870392045	chromosome=0110011010010000100110001110001110011010000111110111110110001110100110011111110010011100010001011001100000111000100000100011111110011001010101010110001111000101	decoded=[-1.017437, 0.995562, 1.044938, -0.097736, 1.039469, 1.130877, 0.968843, 0.089923, 1.013375, -1.129158]
gen=31	fitness=19.419870392045	chromosome=0110011010010000100110001110001110011010000111110111110110001110100110011111110010011100010001011001100000111000100000100011111110011001010101010110001111000101	decoded=[-1.017437, 0.995562, 1.044938, -0.097736, 1.039469, 1.130877, 0.968843, 0.089923, 1.013375, -1.129158]
gen=32	fitness=19.419870392045	chromosome=0110011010010000100110001110001110011010000111110111110110001110100110011111110010011100010001011001100000111000100000100011111110011001010101010110001111000101	decoded=[-1.017437, 0.995562, 1.044938, -0.097736, 1.039469, 1.130877, 0.968843, 0.089923, 1.013375, -1.129158]
gen=33	fitness=19.419870392045	chromosome=0110011010010000100110001110001110011010000111110111110110001110100110011111110010011100010001011001100000111000100000100011111110011001010101010110001111000101	decoded=[-1.017437, 0.995562, 1.044938, -0.097736, 1.039469, 1.130877, 0.968843, 0.089923, 1.013375, -1.129158]
gen=34	fitness=19.419870392045	chromosome=0110011010010000100110001110001110011010000111110111110110001110100110011111110010011100010001011001100000111000100000100011111110011001010101010110001111000101	decoded=[-1.017437, 0.995562, 1.044938, -0.097736, 1.039469, 1.130877, 0.968843, 0.089923, 1.013375, -1.129158]
gen=35	fitness=19.419870392045	chromosome=0110011010010000100110001110001110011010000111110111110110001110100110011111110010011100010001011001100000111000100000100011111110011001010101010110001111000101	decoded=[-1.017437, 0.995562, 1.044938, -0.097736, 1.039469, 1.130877, 0.968843, 0.089923, 1.013375, -1.129158]
gen=36	fitness=16.515536588348	chromosome=1000000010110001100110001000110010011011001110001000000010000111011111011001100010010110101111011011010010100000100000000111110001100110101100111000000101111111	decoded=[0.027735, 0.981968, 1.088845, 0.021172, -0.096173, 0.909623, 2.105110, 0.019453, -1.011969, 0.059923]
gen=37	fitness=16.515536588348	chromosome=1000000010110001100110001000110010011011001110001000000010000111011111011001100010010110101111011011010010100000100000000111110001100110101100111000000101111111	decoded=[0.027735, 0.981968, 1.088845, 0.021172, -0.096173, 0.909623, 2.105110, 0.019453, -1.011969, 0.059923]
gen=38	fitness=16.515536588348	chromosome=1000000010110001100110001000110010011011001110001000000010000111011111011001100010010110101111011011010010100000100000000111110001100110101100111000000101111111	decoded=[0.027735, 0.981968, 1.088845, 0.021172, -0.096173, 0.909623, 2.105110, 0.019453, -1.011969, 0.059923]
gen=39	fitness=16.515536588348	chromosome=1000000010110001100110001000110010011011001110001000000010000111011111011001100010010110101111011011010010100000100000000111110001100110101100111000000101111111	decoded=[0.027735, 0.981968, 1.088845, 0.021172, -0.096173, 0.909623, 2.105110, 0.019453, -1.011969, 0.059923]
gen=40	fitness=13.618711032556	chromosome=0110011010010010100110001100011110011000100001011001101001100011100000001110001010011001010110001000000011111110100000111000011101100101101000110110100010110000	decoded=[-1.017125, 0.991187, 0.980874, 1.055563, 0.035391, 1.013844, 0.039766, 0.141174, -1.054469, -0.932436]
gen=41	fitness=13.618711032556	chromosome=0110011010010010100110001100011110011000100001011001101001100011100000001110001010011001010110001000000011111110100000111000011101100101101000110110100010110000	decoded=[-1.017125, 0.991187, 0.980874, 1.055563, 0.035391, 1.013844, 0.039766, 0.141174, -1.054469, -0.932436]
gen=42	fitness=13.618711032556	chromosome=0110011010010010100110001100011110011000100001011001101001100011100000001110001010011001010110001000000011111110100000111000011101100101101000110110100010110000	decoded=[-1.017125, 0.991187, 0.980874, 1.055563, 0.035391, 1.013844, 0.039766, 0.141174, -1.054469, -0.932436]
gen=43	fitness=13.618711032556	chromosome=0110011010010010100110001100011110011000100001011001101001100011100000001110001010011001010110001000000011111110100000111000011101100101101000110110100010110000	decoded=[-1.017125, 0.991187, 0.980874, 1.055563, 0.035391, 1.013844, 0.039766, 0.141174, -1.054469, -0.932436]
gen=44	fitness=13.618711032556	chromosome=0110011010010010100110001100011110011000100001011001101001100011100000001110001010011001010110001000000011111110100000111000011101100101101000110110100010110000	decoded=[-1.017125, 0.991187, 0.980874, 1.055563, 0.035391, 1.013844, 0.039766, 0.141174, -1.054469, -0.932436]
gen=45	fitness=12.845111503804	chromosome=0110011010010010100110001100011110011001100001011001101001100011100000001100001010011001010110001000000011011110100000111000011101100111101000110110100010010000	decoded=[-1.017125, 0.991187, 1.020875, 1.055563, 0.030391, 1.013844, 0.034766, 0.141174, -0.974468, -0.937436]
gen=46	fitness=12.845111503804	chromosome=0110011010010010100110001100011110011001100001011001101001100011100000001100001010011001010110001000000011011110100000111000011101100111101000110110100010010000	decoded=[-1.017125, 0.991187, 1.020875, 1.055563, 0.030391, 1.013844, 0.034766, 0.141174, -0.974468, -0.937436]
gen=47	fitness=12.845111503804	chromosome=0110011010010010100110001100011110011001100001011001101001100011100000001100001010011001010110001000000011011110100000111000011101100111101000110110100010010000	decoded=[-1.017125, 0.991187, 1.020875, 1.055563, 0.030391, 1.013844, 0.034766, 0.141174, -0.974468, -0.937436]
gen=48	fitness=12.845111503804	chromosome=0110011010010010100110001100011110011001100001011001101001100011100000001100001010011001010110001000000011011110100000111000011101100111101000110110100010010000	decoded=[-1.017125, 0.991187, 1.020875, 1.055563, 0.030391, 1.013844, 0.034766, 0.141174, -0.974468, -0.937436]
