seed=30
gen=19	fitness=19.928357962796	chromosome=0111111110001000010011110110111010010111011101000111111000001011100110011001101101100100110010011001101001011100100101100110000001100100011110011001100100101110	decoded=[-0.018672, -1.942764, 0.938217, -0.078204, 1.024313, -1.088532, 1.054469, 0.895092, -1.101032, 1.007281]
gen=20	fitness=19.928357962796	chromosome=0111111110001000010011110110111010010111011101000111111000001011100110011001101101100100110010011001101001011100100101100110000001100100011110011001100100101110	decoded=[-0.018672, -1.942764, 0.938217, -0.078204, 1.024313, -1.088532, 1.054469, 0.895092, -1.101032, 1.007281]
gen=21	fitness=19.928357962796	chromosome=0111111110001000010011110110111010010111011101000111111000001011100110011001101101100100110010011001101001011100100101100110000001100100011110011001100100101110	decoded=[-0.018672, -1.942764, 0.938217, -0.078204, 1.024313, -1.088532, 1.054469, 0.895092, -1.101032, 1.007281]
gen=22	fitness=19.928357962796	chromosome=0111111110001000010011110110111010010111011101000111111000001011100110011001101101100100110010011001101001011100100101100110000001100100011110011001100100101110	decoded=[-0.018672, -1.942764, 0.938217, -0.078204, 1.024313, -1.088532, 1.054469, 0.895092, -1.101032, 1.007281]
gen=23	fitness=18.668674556568	chromosome=1000000000101010011001111100000101001110010111011011001110010110100000101001111101111110111111011001101110110010100110100100000101100110111100011000000001011011	decoded=[0.006641, -0.969780, -1.985421, 2.063547, 0.104923, -0.040391, 1.107908, 1.050250, -1.002281, 0.014297]
gen=24	fitness=18.668674556568	chromosome=1000000000101010011001111100000101001110010111011011001110010110100000101001111101111110111111011001101110110010100110100100000101100110111100011000000001011011	decoded=[0.006641, -0.969780, -1.985421, 2.063547, 0.104923, -0.040391, 1.107908, 1.050250, -1.002281, 0.014297]
gen=25	fitness=18.668674556568	chromosome=1000000000101010011001111100000101001110010111011011001110010110100000101001111101111110111111011001101110110010100110100100000101100110111100011000000001011011	decoded=[0.006641, -0.969780, -1.985421, 2.063547, 0.104923, -0.040391, 1.107908, 1.050250, -1.002281, 0.014297]
gen=26	fitness=18.668674556568	chromosome=1000000000101010011001111100000101001110010111011011001110010110100000101001111101111110111111011001101110110010100110100100000101100110111100011000000001011011	decoded=[0.006641, -0.969780, -1.985421, 2.063547, 0.104923, -0.040391, 1.107908, 1.050250, -1.002281, 0.014297]
gen=27	fitness=18.668674556568	chromosome=1000000000101010011001111100000101001110010111011011001110010110100000101001111101111110111111011001101110110010100110100100000101100110111100011000000001011011	decoded=[0.006641, -0.969780, -1.985421, 2.063547, 0.104923, -0.040391, 1.107908, 1.050250, -1.002281, 0.014297]
gen=28	fitness=15.588586323331	chromosome=0111111011000110011010101100010110011000000000000111111111011001100110011001110101100011101111011000000011001000011001101111100001111110110111000110010110010000	decoded=[-0.048985, -0.849154, 0.960093, -0.006016, 1.024625, -1.130408, 0.031329, -1.001187, -0.045548, -1.057438]
gen=29	fitness=15.588586323331	chromosome=0111111011000110011010101100010110011000000000000111111111011001100110011001110101100011101111011000000011001000011001101111100001111110110111000110010110010000	decoded=[-0.048985, -0.849154, 0.960093, -0.006016, 1.024625, -1.130408, 0.031329, -1.001187, -0.045548, -1.057438]
gen=30	fitness=15.588586323331	chromosome=0111111011000110011010101100010110011000000000000111111111011001100110011001110101100011101111011000000011001000011001101111100001111110110111000110010110010000	decoded=[-0.048985, -0.849154, 0.960093, -0.006016, 1.024625, -1.130408, 0.031329, -1.001187, -0.045548, -1.057438]
gen=31	fitness=15.588586323331	chromosome=0111111011000110011010101100010110011000000000000111111111011001100110011001110101100011101111011000000011001000011001101111100001111110110111000110010110010000	decoded=[-0.048985, -0.849154, 0.960093, -0.006016, 1.024625, -1.130408, 0.031329, -1.001187, -0.045548, -1.057438]
