seed=29
gen=19	fitness=18.664615518557	chromosome=1000000010010111100110010110110101001010000011010110011101100001011001111110000010010111100110011000000100001110011111100111011010011001110101101000001010101110	decoded=[0.023672, 1.017125, -2.157924, -0.984781, -0.964937, 0.943999, 0.042266, -0.061485, 1.033531, 0.107267]
gen=20	fitness=18.664615518557	chromosome=1000000010010111100110010110110101001010000011010110011101100001011001111110000010010111100110011000000100001110011111100111011010011001110101101000001010101110	decoded=[0.023672, 1.017125, -2.157924, -0.984781, -0.964937, 0.943999, 0.042266, -0.061485, 1.033531, 0.107267]
gen=21	fitness=18.664615518557	chromosome=1000000010010111100110010110110101001010000011010110011101100001011001111110000010010111100110011000000100001110011111100111011010011001110101101000001010101110	decoded=[0.023672, 1.017125, -2.157924, -0.984781, -0.964937, 0.943999, 0.042266, -0.061485, 1.033531, 0.107267]
gen=22	fitness=18.664615518557	chromosome=1000000010010111100110010110110101001010000011010110011101100001011001111110000010010111100110011000000100001110011111100111011010011001110101101000001010101110	decoded=[0.023672, 1.017125, -2.157924, -0.984781, -0.964937, 0.943999, 0.042266, -0.061485, 1.033531, 0.107267]
gen=23	fitness=18.664615518557	chromosome=1000000010010111100110010110110101001010000011010110011101100001011001111110000010010111100110011000000100001110011111100111011010011001110101101000001010101110	decoded=[0.023672, 1.017125, -2.157924, -0.984781, -0.964937, 0.943999, 0.042266, -0.061485, 1.033531, 0.107267]
gen=24	fitness=18.664615518557	chromosome=1000000010010111100110010110110101001010000011010110011101100001011001111110000010010111100110011000000100001110011111100111011010011001110101101000001010101110	decoded=[0.023672, 1.017125, -2.157924, -0.984781, -0.964937, 0.943999, 0.042266, -0.061485, 1.033531, 0.107267]
gen=25	fitness=18.664615518557	chromosome=1000000010010111100110010110110101001010000011010110011101100001011001111110000010010111100110011000000100001110011111100111011010011001110101101000001010101110	decoded=[0.023672, 1.017125, -2.157924, -0.984781, -0.964937, 0.943999, 0.042266, -0.061485, 1.033531, 0.107267]
gen=26	fitness=16.612836343635	chromosome=1000000010111111100110000110011111001010000010010110011001100001011001111110000110010111100111001000000101001100011111100110111010011000110100000111111101000011	decoded=[0.029922, 0.976187, 2.961530, -1.024781, -0.964780, 0.944468, 0.051954, -0.062735, 0.992593, -0.029454]
gen=27	fitness=16.612836343635	chromosome=1000000010111111100110000110011111001010000010010110011001100001011001111110000110010111100111001000000101001100011111100110111010011000110100000111111101000011	decoded=[0.029922, 0.976187, 2.961530, -1.024781, -0.964780, 0.944468, 0.051954, -0.062735, 0.992593, -0.029454]
gen=28	fitness=15.732833249560	chromosome=1000001101011000100110011100111001111101001111001000000010011000011111111110101101100111011011010111110010110010011010000010110101100111011110101000001010001101	decoded=[0.133830, 1.032281, -0.110549, 0.023828, -0.003203, -0.982906, -0.132111, -0.952905, -0.980874, 0.102111]
gen=29	fitness=14.074852295242	chromosome=0110011111100010011111111011110010011010011100100110100000011111100110111110100101100110011010011001100110011110011111110010110101101001000101111000001000000010	decoded=[-0.964624, -0.010547, 1.057907, -0.955093, 1.116501, -1.023531, 1.024781, -0.032891, -0.916342, 0.080392]
gen=30	fitness=14.074852295242	chromosome=0110011111100010011111111011110010011010011100100110100000011111100110111110100101100110011010011001100110011110011111110010110101101001000101111000001000000010	decoded=[-0.964624, -0.010547, 1.057907, -0.955093, 1.116501, -1.023531, 1.024781, -0.032891, -0.916342, 0.080392]
gen=31	fitness=14.074852295242	chromosome=0110011111100010011111111011110010011010011100100110100000011111100110111110100101100110011010011001100110011110011111110010110101101001000101111000001000000010	decoded=[-0.964624, -0.010547, 1.057907, -0.955093, 1.116501, -1.023531, 1.024781, -0.032891, -0.916342, 0.080392]
gen=32	fitness=14.074852295242	chromosome=0110011111100010011111111011110010011010011100100110100000011111100110111110100101100110011010011001100110011110011111110010110101101001000101111000001000000010	decoded=[-0.964624, -0.010547, 1.057907, -0.955093, 1.116501, -1.023531, 1.024781, -0.032891, -0.916342, 0.080392]
gen=33	fitness=13.627465633073	chromosome=0110100010001100100000010101011110000000101100100110001111111100100110001111100110011010111110010111111110010111100101111111101101111111000100110110100100111001	decoded=[-0.938061, 0.053673, 0.027891, -1.120564, 0.999000, 1.079001, -0.016328, 0.959312, -0.036954, -0.911030]
gen=34	fitness=13.627465633073	chromosome=0110100010001100100000010101011110000000101100100110001111111100100110001111100110011010111110010111111110010111100101111111101101111111000100110110100100111001	decoded=[-0.938061, 0.053673, 0.027891, -1.120564, 0.999000, 1.079001, -0.016328, 0.959312, -0.036954, -0.911030]
gen=35	fitness=13.627465633073	chromosome=0110100010001100100000010101011110000000101100100110001111111100100110001111100110011010111110010111111110010111100101111111101101111111000100110110100100111001	decoded=[-0.938061, 0.053673, 0.027891, -1.120564, 0.999000, 1.079001, -0.016328, 0.959312, -0.036954, -0.911030]
gen=36	fitness=13.627465633073	chromosome=0110100010001100100000010101011110000000101100100110001111111100100110001111100110011010111110010111111110010111100101111111101101111111000100110110100100111001	decoded=[-0.938061, 0.053673, 0.027891, -1.120564, 0.999000, 1.079001, -0.016328, 0.959312, -0.036954, -0.911030]
gen=37	fitness=13.627465633073	chromosome=0110100010001100100000010101011110000000101100100110001111111100100110001111100110011010111110010111111110010111100101111111101101111111000100110110100100111001	decoded=[-0.938061, 0.053673, 0.027891, -1.120564, 0.999000, 1.079001, -0.016328, 0.959312, -0.036954, -0.911030]
gen=38	fitness=13.627465633073	chromosome=0110100010001100100000010101011110000000101100100110001111111100100110001111100110011010111110010111111110010111100101111111101101111111000100110110100100111001	decoded=[-0.938061, 0.053673, 0.027891, -1.120564, 0.999000, 1.079001, -0.016328, 0.959312, -0.036954, -0.911030]
gen=39	fitness=13.627465633073	chromosome=0110100010001100100000010101011110000000101100100110001111111100100110001111100110011010111110010111111110010111100101111111101101111111000100110110100100111001	decoded=[-0.938061, 0.053673, 0.027891, -1.120564, 0.999000, 1.079001, -0.016328, 0.959312, -0.036954, -0.911030]
gen=40	fitness=13.627465633073	chromosome=0110100010001100100000010101011110000000101100100110001111111100100110001111100110011010111110010111111110010111100101111111101101111111000100110110100100111001	decoded=[-0.938061, 0.053673, 0.027891, -1.120564, 0.999000, 1.079001, -0.016328, 0.959312, -0.036954, -0.911030]
gen=41	fitness=13.627465633073	chromosome=0110100010001100100000010101011110000000101100100110001111111100100110001111100110011010111110010111111110010111100101111111101101111111000100110110100100111001	decoded=[-0.938061, 0.053673, 0.027891, -1.120564, 0.999000, 1.079001, -0.016328, 0.959312, -0.036954, -0.911030]
gen=42	fitness=13.627465633073	chromosome=0110100010001100100000010101011110000000101100100110001111111100100110001111100110011010111110010111111110010111100101111111101101111111000100110110100100111001	decoded=[-0.938061, 0.053673, 0.027891, -1.120564, 0.999000, 1.079001, -0.016328, 0.959312, -0.036954, -0.911030]
gen=43	fitness=13.627465633073	chromosome=0110100010001100100000010101011110000000101100100110001111111100100110001111100110011010111110010111111110010111100101111111101101111111000100110110100100111001	decoded=[-0.938061, 0.053673, 0.027891, -1.120564, 0.999000, 1.079001, -0.016328, 0.959312, -0.036954, -0.911030]
gen=44	fitness=11.949181213210	chromosome=0111111011110000011001110001111110011010000001001001011010100000011111111101101001100110111110111001101000110110011010000010010001100110011111001000001001001100	decoded=[-0.042423, -0.995093, 1.040719, 0.905092, -0.005859, -1.000718, 1.048532, -0.954311, -1.020562, 0.091955]
gen=45	fitness=11.949181213210	chromosome=0111111011110000011001110001111110011010000001001001011010100000011111111101101001100110111110111001101000110110011010000010010001100110011111001000001001001100	decoded=[-0.042423, -0.995093, 1.040719, 0.905092, -0.005859, -1.000718, 1.048532, -0.954311, -1.020562, 0.091955]
gen=46	fitness=11.949181213210	chromosome=0111111011110000011001110001111110011010000001001001011010100000011111111101101001100110111110111001101000110110011010000010010001100110011111001000001001001100	decoded=[-0.042423, -0.995093, 1.040719, 0.905092, -0.005859, -1.000718, 1.048532, -0.954311, -1.020562, 0.091955]
gen=47	fitness=11.949181213210	chromosome=0111111011110000011001110001111110011010000001001001011010100000011111111101101001100110111110111001101000110110011010000010010001100110011111001000001001001100	decoded=[-0.042423, -0.995093, 1.040719, 0.905092, -0.005859, -1.000718, 1.048532, -0.954311, -1.020562, 0.091955]
gen=48	fitness=11.949181213210	chromosome=0111111011110000011001110001111110011010000001001001011010100000011111111101101001100110111110111001101000110110011010000010010001100110011111001000001001001100	decoded=[-0.042423, -0.995093, 1.040719, 0.905092, -0.005859, -1.000718, 1.048532, -0.954311, -1.020562, 0.091955]
gen=49	fitness=8.895882923983	chromosome=1000000000010111100110010110101001111101101110100110011001110011011111100111010001100110010001111001011001100100011111111000011101111111011100010111111110010001	decoded=[0.003672, 1.016656, -0.090861, -1.021969, -0.061798, -1.028844, 0.895717, -0.018828, -0.022266, -0.017266]
