seed=7
gen=40	fitness=18.647078994853	position=[1.983314, 0.963506, 0.031078, 0.997905, -1.014690, 1.013140, -0.971552, 1.975434, 0.979571, -1.986695]
gen=41	fitness=18.647078994853	position=[1.983314, 0.963506, 0.031078, 0.997905, -1.014690, 1.013140, -0.971552, 1.975434, 0.979571, -1.986695]
gen=42	fitness=18.647078994853	position=[1.983314, 0.963506, 0.031078, 0.997905, -1.014690, 1.013140, -0.971552, 1.975434, 0.979571, -1.986695]
gen=43	fitness=18.647078994853	position=[1.983314, 0.963506, 0.031078, 0.997905, -1.014690, 1.013140, -0.971552, 1.975434, 0.979571, -1.986695]
gen=44	fitness=18.647078994853	position=[1.983314, 0.963506, 0.031078, 0.997905, -1.014690, 1.013140, -0.971552, 1.975434, 0.979571, -1.986695]
gen=45	fitness=18.647078994853	position=[1.983314, 0.963506, 0.031078, 0.997905, -1.014690, 1.013140, -0.971552, 1.975434, 0.979571, -1.986695]
gen=46	fitness=18.647078994853	position=[1.983314, 0.963506, 0.031078, 0.997905, -1.014690, 1.013140, -0.971552, 1.975434, 0.979571, -1.986695]
gen=47	fitness=18.550522894357	position=[1.974633, 0.959775, 0.026034, 0.991504, -1.006921, 1.006383, -0.983417, 1.976126, 0.973019, -1.987259]
gen=48	fitness=18.550522894357	position=[1.974633, 0.959775, 0.026034, 0.991504, -1.006921, 1.006383, -0.983417, 1.976126, 0.973019, -1.987259]
gen=49	fitness=18.550522894357	position=[1.974633, 0.959775, 0.026034, 0.991504, -1.006921, 1.006383, -0.983417, 1.976126, 0.973019, -1.987259]
gen=50	fitness=18.550522894357	position=[1.974633, 0.959775, 0.026034, 0.991504, -1.006921, 1.006383, -0.983417, 1.976126, 0.973019, -1.987259]
gen=51	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=52	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=53	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=54	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=55	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=56	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=57	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
