seed=3
gen=40	fitness=14.085645485309	position=[0.011596, -1.997286, -0.013844, -1.975929, 0.996602, -1.001841, 1.000860, 0.991379, 0.995280, -1.005673]
gen=41	fitness=14.085645485309	position=[0.011596, -1.997286, -0.013844, -1.975929, 0.996602, -1.001841, 1.000860, 0.991379, 0.995280, -1.005673]
gen=42	fitness=14.085645485309	position=[0.011596, -1.997286, -0.013844, -1.975929, 0.996602, -1.001841, 1.000860, 0.991379, 0.995280, -1.005673]
gen=43	fitness=14.085645485309	position=[0.011596, -1.997286, -0.013844, -1.975929, 0.996602, -1.001841, 1.000860, 0.991379, 0.995280, -1.005673]
gen=44	fitness=14.085645485309	position=[0.011596, -1.997286, -0.013844, -1.975929, 0.996602, -1.001841, 1.000860, 0.991379, 0.995280, -1.005673]
gen=45	fitness=14.085645485309	position=[0.011596, -1.997286, -0.013844, -1.975929, 0.996602, -1.001841, 1.000860, 0.991379, 0.995280, -1.005673]
gen=46	fitness=14.085645485309	position=[0.011596, -1.997286, -0.013844, -1.975929, 0.996602, -1.001841, 1.000860, 0.991379, 0.995280, -1.005673]
gen=47	fitness=14.085645485309	position=[0.011596, -1.997286, -0.013844, -1.975929, 0.996602, -1.001841, 1.000860, 0.991379, 0.995280, -1.005673]
gen=48	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=49	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=50	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=51	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=52	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=53	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=54	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=55	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=56	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=57	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=58	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=59	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=60	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=61	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=62	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=63	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=64	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=65	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=66	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=67	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=68	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=69	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=70	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
