seed=11
gen=15	fitness=34.912138012396	position=[-0.948019, 1.009589, 1.115587, 0.933742, -0.982259, 1.775740, -0.995292, -0.974314, -0.938058, -0.259780]
gen=16	fitness=31.264834578180	position=[-1.097649, 1.047574, 1.178044, 0.959552, -1.088809, 1.843811, -1.004631, -0.970912, -1.016005, -0.160341]
gen=17	fitness=26.298339948162	position=[-1.028965, 0.944694, 1.118152, 1.019705, -1.099972, 1.864450, -0.982894, -0.991000, -0.995292, -0.176259]
gen=18	fitness=26.298339948162	position=[-1.028965, 0.944694, 1.118152, 1.019705, -1.099972, 1.864450, -0.982894, -0.991000, -0.995292, -0.176259]
gen=19	fitness=23.943550327357	position=[-0.976208, 0.981491, 1.110761, 1.041028, -0.981221, 2.040488, -0.915544, -0.953624, -1.019613, -0.195781]
gen=20	fitness=23.943550327357	position=[-0.976208, 0.981491, 1.110761, 1.041028, -0.981221, 2.040488, -0.915544, -0.953624, -1.019613, -0.195781]
gen=21	fitness=22.922180203201	position=[-1.043428, 0.963539, 0.981955, 1.063140, -1.030828, 1.900627, -0.935644, -0.985312, -0.992694, -0.199144]
gen=22	fitness=22.922180203201	position=[-1.043428, 0.963539, 0.981955, 1.063140, -1.030828, 1.900627, -0.935644, -0.985312, -0.992694, -0.199144]
gen=23	fitness=22.922180203201	position=[-1.043428, 0.963539, 0.981955, 1.063140, -1.030828, 1.900627, -0.935644, -0.985312, -0.992694, -0.199144]
gen=24	fitness=21.046869115064	position=[-0.955540, 0.957189, 0.979148, 1.076691, -0.947352, 1.935328, -1.069780, -1.030745, -0.946229, -0.153580]
gen=25	fitness=19.963118921695	position=[-1.037264, 1.012690, 1.065645, 1.074143, -0.987735, 1.889413, -0.947089, -0.974513, -0.982243, -0.124464]
gen=26	fitness=18.875212669858	position=[-0.999019, 0.952852, 0.983211, 1.055304, -1.007171, 1.911666, -0.996029, -0.988848, -0.965324, -0.155968]
gen=27	fitness=18.875212669858	position=[-0.999019, 0.952852, 0.983211, 1.055304, -1.007171, 1.911666, -0.996029, -0.988848, -0.965324, -0.155968]
gen=28	fitness=17.366568686442	position=[-1.036068, 1.038097, 1.056526, 0.973556, -0.971723, 1.981231, -0.950460, -0.961843, -0.933309, -0.112804]
gen=29	fitness=16.798431181293	position=[-1.033226, 0.993442, 1.026140, 1.038279, -0.972442, 2.035011, -0.957772, -0.970281, -0.957159, -0.122385]
gen=30	fitness=16.798431181293	position=[-1.033226, 0.993442, 1.026140, 1.038279, -0.972442, 2.035011, -0.957772, -0.970281, -0.957159, -0.122385]
gen=31	fitness=16.798431181293	position=[-1.033226, 0.993442, 1.026140, 1.038279, -0.972442, 2.035011, -0.957772, -0.970281, -0.957159, -0.122385]
gen=32	fitness=15.882782251981	position=[-1.035494, 0.998431, 1.000482, 1.059599, -1.000079, 2.059489, -0.994641, -0.942570, -0.965307, -0.075875]
gen=33	fitness=15.882782251981	position=[-1.035494, 0.998431, 1.000482, 1.059599, -1.000079, 2.059489, -0.994641, -0.942570, -0.965307, -0.075875]
gen=34	fitness=15.882782251981	position=[-1.035494, 0.998431, 1.000482, 1.059599, -1.000079, 2.059489, -0.994641, -0.942570, -0.965307, -0.075875]
gen=35	fitness=15.882782251981	position=[-1.035494, 0.998431, 1.000482, 1.059599, -1.000079, 2.059489, -0.994641, -0.942570, -0.965307, -0.075875]
gen=36	fitness=15.587701437597	position=[-1.022708, 1.004810, 0.995092, 1.058136, -0.986977, 2.059838, -0.995112, -0.935236, -0.959597, -0.062909]
gen=37	fitness=15.587701437597	position=[-1.022708, 1.004810, 0.995092, 1.058136, -0.986977, 2.059838, -0.995112, -0.935236, -0.959597, -0.062909]
gen=38	fitness=15.587701437597	position=[-1.022708, 1.004810, 0.995092, 1.058136, -0.986977, 2.059838, -0.995112, -0.935236, -0.959597, -0.062909]
