seed=10
gen=39	fitness=25.908116512926	position=[-1.034762, -0.982073, -0.969181, 0.967980, 0.981514, -0.005495, -0.992324, 1.012769, -2.953176, -2.961114]
gen=40	fitness=25.908116512926	position=[-1.034762, -0.982073, -0.969181, 0.967980, 0.981514, -0.005495, -0.992324, 1.012769, -2.953176, -2.961114]
gen=41	fitness=25.908116512926	position=[-1.034762, -0.982073, -0.969181, 0.967980, 0.981514, -0.005495, -0.992324, 1.012769, -2.953176, -2.961114]
gen=42	fitness=25.908116512926	position=[-1.034762, -0.982073, -0.969181, 0.967980, 0.981514, -0.005495, -0.992324, 1.012769, -2.953176, -2.961114]
gen=43	fitness=25.908116512926	position=[-1.034762, -0.982073, -0.969181, 0.967980, 0.981514, -0.005495, -0.992324, 1.012769, -2.953176, -2.961114]
gen=44	fitness=25.418427873326	position=[-1.019611, -0.999380, -0.971330, 0.977002, 0.983696, 0.002408, -0.986547, 0.989915, -2.962706, -2.961793]
gen=45	fitness=25.418427873326	position=[-1.019611, -0.999380, -0.971330, 0.977002, 0.983696, 0.002408, -0.986547, 0.989915, -2.962706, -2.961793]
gen=46	fitness=25.418427873326	position=[-1.019611, -0.999380, -0.971330, 0.977002, 0.983696, 0.002408, -0.986547, 0.989915, -2.962706, -2.961793]
gen=47	fitness=25.418427873326	position=[-1.019611, -0.999380, -0.971330, 0.977002, 0.983696, 0.002408, -0.986547, 0.989915, -2.962706, -2.961793]
gen=48	fitness=25.418427873326	position=[-1.019611, -0.999380, -0.971330, 0.977002, 0.983696, 0.002408, -0.986547, 0.989915, -2.962706, -2.961793]
gen=49	fitness=25.418427873326	position=[-1.019611, -0.999380, -0.971330, 0.977002, 0.983696, 0.002408, -0.986547, 0.989915, -2.962706, -2.961793]
gen=50	fitness=25.418427873326	position=[-1.019611, -0.999380, -0.971330, 0.977002, 0.983696, 0.002408, -0.986547, 0.989915, -2.962706, -2.961793]
gen=51	fitness=25.418427873326	position=[-1.019611, -0.999380, -0.971330, 0.977002, 0.983696, 0.002408, -0.986547, 0.989915, -2.962706, -2.961793]
gen=52	fitness=25.418427873326	position=[-1.019611, -0.999380, -0.971330, 0.977002, 0.983696, 0.002408, -0.986547, 0.989915, -2.962706, -2.961793]
gen=53	fitness=25.418427873326	position=[-1.019611, -0.999380, -0.971330, 0.977002, 0.983696, 0.002408, -0.986547, 0.989915, -2.962706, -2.961793]
gen=54	fitness=25.353491312185	position=[-1.021706, -0.993216, -0.980919, 0.969458, 0.989010, -0.002950, -0.967865, 0.996741, -2.976594, -2.981720]
gen=55	fitness=25.353491312185	position=[-1.021706, -0.993216, -0.980919, 0.969458, 0.989010, -0.002950, -0.967865, 0.996741, -2.976594, -2.981720]
gen=56	fitness=25.353491312185	position=[-1.021706, -0.993216, -0.980919, 0.969458, 0.989010, -0.002950, -0.967865, 0.996741, -2.976594, -2.981720]
gen=57	fitness=25.353491312185	position=[-1.021706, -0.993216, -0.980919, 0.969458, 0.989010, -0.002950, -0.967865, 0.996741, -2.976594, -2.981720]
gen=58	fitness=25.353491312185	position=[-1.021706, -0.993216, -0.980919, 0.969458, 0.989010, -0.002950, -0.967865, 0.996741, -2.976594, -2.981720]
