seed=4
gen=13	fitness=45.370087704004	position=[-1.048595, 0.090140, -0.043597, -1.099563, -0.195141, 1.968361, -1.007055, -0.262762, -3.091344, -0.165752]
gen=14	fitness=40.370795847127	position=[-1.074634, 0.018713, -0.109952, -1.076858, 0.007700, 1.962724, -1.116024, -0.224831, -3.170720, -0.096263]
gen=15	fitness=40.370795847127	position=[-1.074634, 0.018713, -0.109952, -1.076858, 0.007700, 1.962724, -1.116024, -0.224831, -3.170720, -0.096263]
gen=16	fitness=38.773651002350	position=[-1.174305, -0.020648, 0.023405, -1.148037, -0.066836, 2.026972, -1.154089, -0.090458, -3.092695, -0.123024]
gen=17	fitness=29.863600854735	position=[-1.082874, 0.060309, -0.161133, -1.089522, 0.036168, 1.960020, -1.053186, -0.119746, -3.069158, 0.017074]
gen=18	fitness=29.863600854735	position=[-1.082874, 0.060309, -0.161133, -1.089522, 0.036168, 1.960020, -1.053186, -0.119746, -3.069158, 0.017074]
gen=19	fitness=21.547777737742	position=[-1.053819, -0.038611, 0.040322, -0.973222, -0.119189, 1.935434, -0.962904, -0.052392, -2.995361, 0.032308]
gen=20	fitness=21.547777737742	position=[-1.053819, -0.038611, 0.040322, -0.973222, -0.119189, 1.935434, -0.962904, -0.052392, -2.995361, 0.032308]
gen=21	fitness=21.547777737742	position=[-1.053819, -0.038611, 0.040322, -0.973222, -0.119189, 1.935434, -0.962904, -0.052392, -2.995361, 0.032308]
gen=22	fitness=21.547777737742	position=[-1.053819, -0.038611, 0.040322, -0.973222, -0.119189, 1.935434, -0.962904, -0.052392, -2.995361, 0.032308]
gen=23	fitness=20.099442988557	position=[-1.048304, -0.020821, 0.033199, -1.037856, -0.085472, 1.971571, -1.004567, -0.076384, -3.023758, 0.009146]
gen=24	fitness=20.099442988557	position=[-1.048304, -0.020821, 0.033199, -1.037856, -0.085472, 1.971571, -1.004567, -0.076384, -3.023758, 0.009146]
