seed=9
gen=40	fitness=21.394324346646	position=[-1.017055, 0.056701, 1.015415, 1.054911, 1.912412, -0.910080, 0.168445, 1.098780, -0.050382, -0.058794]
gen=41	fitness=21.394324346646	position=[-1.017055, 0.056701, 1.015415, 1.054911, 1.912412, -0.910080, 0.168445, 1.098780, -0.050382, -0.058794]
gen=42	fitness=21.394324346646	position=[-1.017055, 0.056701, 1.015415, 1.054911, 1.912412, -0.910080, 0.168445, 1.098780, -0.050382, -0.058794]
gen=43	fitness=21.394324346646	position=[-1.017055, 0.056701, 1.015415, 1.054911, 1.912412, -0.910080, 0.168445, 1.098780, -0.050382, -0.058794]
gen=44	fitness=21.394324346646	position=[-1.017055, 0.056701, 1.015415, 1.054911, 1.912412, -0.910080, 0.168445, 1.098780, -0.050382, -0.058794]
gen=45	fitness=21.394324346646	position=[-1.017055, 0.056701, 1.015415, 1.054911, 1.912412, -0.910080, 0.168445, 1.098780, -0.050382, -0.058794]
gen=46	fitness=21.394324346646	position=[-1.017055, 0.056701, 1.015415, 1.054911, 1.912412, -0.910080, 0.168445, 1.098780, -0.050382, -0.058794]
gen=47	fitness=20.767635963785	position=[-0.995544, 0.057375, 1.008130, 1.047570, 1.915917, -0.925581, 0.169240, 1.087853, -0.094512, -0.012947]
gen=48	fitness=17.878015768660	position=[-1.046202, -0.026747, 1.001964, 1.126649, 1.983316, -0.895287, 0.019322, 1.064791, -0.067459, 0.077048]
gen=49	fitness=17.682493450654	position=[-0.998476, 0.047648, 1.002199, 1.044743, 1.934521, -0.909534, 0.124466, 1.085695, -0.074226, -0.030519]
gen=50	fitness=17.682493450654	position=[-0.998476, 0.047648, 1.002199, 1.044743, 1.934521, -0.909534, 0.124466, 1.085695, -0.074226, -0.030519]
gen=51	fitness=17.682493450654	position=[-0.998476, 0.047648, 1.002199, 1.044743, 1.934521, -0.909534, 0.124466, 1.085695, -0.074226, -0.030519]
gen=52	fitness=17.682493450654	position=[-0.998476, 0.047648, 1.002199, 1.044743, 1.934521, -0.909534, 0.124466, 1.085695, -0.074226, -0.030519]
gen=53	fitness=17.682493450654	position=[-0.998476, 0.047648, 1.002199, 1.044743, 1.934521, -0.909534, 0.124466, 1.085695, -0.074226, -0.030519]
gen=54	fitness=17.682493450654	position=[-0.998476, 0.047648, 1.002199, 1.044743, 1.934521, -0.909534, 0.124466, 1.085695, -0.074226, -0.030519]
gen=55	fitness=17.682493450654	position=[-0.998476, 0.047648, 1.002199, 1.044743, 1.934521, -0.909534, 0.124466, 1.085695, -0.074226, -0.030519]
gen=56	fitness=16.905347049275	position=[-1.010469, 0.036222, 1.000146, 1.061193, 1.939579, -0.895244, 0.103405, 1.085108, -0.061590, -0.009410]
gen=57	fitness=16.905347049275	position=[-1.010469, 0.036222, 1.000146, 1.061193, 1.939579, -0.895244, 0.103405, 1.085108, -0.061590, -0.009410]
gen=58	fitness=16.905347049275	position=[-1.010469, 0.036222, 1.000146, 1.061193, 1.939579, -0.895244, 0.103405, 1.085108, -0.061590, -0.009410]
gen=59	fitness=16.905347049275	position=[-1.010469, 0.036222, 1.000146, 1.061193, 1.939579, -0.895244, 0.103405, 1.085108, -0.061590, -0.009410]
gen=60	fitness=16.513031504293	position=[-1.021596, 0.011315, 0.998394, 1.080195, 1.950299, -0.876663, 0.070017, 1.087683, -0.044565, -0.010672]
gen=61	fitness=16.513031504293	position=[-1.021596, 0.011315, 0.998394, 1.080195, 1.950299, -0.876663, 0.070017, 1.087683, -0.044565, -0.010672]
gen=62	fitness=16.513031504293	position=[-1.021596, 0.011315, 0.998394, 1.080195, 1.950299, -0.876663, 0.070017, 1.087683, -0.044565, -0.010672]
