seed=109
gen=11	fitness=1146.142715787305	tour=[18, 28, 27, 37, 38, 48, 58, 57, 47, 46, 56, 55, 45, 35, 36, 26, 16, 15, 4, 3, 13, 12, 22, 21, 31, 41, 51, 52, 53, 54, 64, 63, 62, 61, 60, 50, 40, 30, 20, 11, 1, 2, 0, 10, 32, 42, 43, 33, 23, 24, 25, 14, 5, 6, 7, 17, 8, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99, 98, 97, 87, 88, 78, 76, 75, 65, 66, 67, 68, 77, 86, 96, 95, 94, 84, 85, 74, 73, 83, 93, 92, 91, 90, 80, 70, 71, 72, 82, 81, 44, 34]
gen=12	fitness=1133.848230198288	tour=[96, 97, 98, 99, 89, 79, 69, 59, 49, 39, 38, 48, 47, 46, 45, 35, 34, 24, 23, 22, 12, 13, 14, 15, 25, 26, 36, 37, 28, 29, 19, 9, 8, 7, 17, 18, 27, 16, 6, 5, 4, 3, 2, 1, 0, 10, 20, 30, 40, 41, 31, 21, 11, 32, 42, 43, 44, 54, 53, 52, 51, 61, 72, 73, 74, 75, 65, 55, 56, 66, 76, 86, 85, 95, 94, 93, 92, 82, 83, 84, 64, 63, 62, 71, 81, 91, 90, 80, 70, 60, 50, 33, 67, 68, 58, 57, 78, 88, 87, 77]
gen=13	fitness=1130.739502452363	tour=[91, 92, 93, 94, 95, 96, 97, 98, 88, 87, 77, 76, 75, 85, 86, 84, 83, 82, 72, 62, 61, 71, 81, 80, 70, 60, 50, 40, 30, 20, 10, 0, 1, 11, 21, 31, 41, 42, 32, 33, 23, 13, 3, 2, 12, 22, 24, 34, 44, 45, 55, 54, 53, 63, 73, 74, 64, 65, 66, 67, 57, 47, 46, 56, 68, 78, 79, 89, 99, 69, 59, 49, 39, 29, 28, 38, 48, 58, 36, 37, 27, 17, 16, 15, 14, 4, 5, 6, 7, 8, 9, 19, 18, 26, 25, 35, 43, 52, 51, 90]
gen=14	fitness=1130.739502452363	tour=[91, 92, 93, 94, 95, 96, 97, 98, 88, 87, 77, 76, 75, 85, 86, 84, 83, 82, 72, 62, 61, 71, 81, 80, 70, 60, 50, 40, 30, 20, 10, 0, 1, 11, 21, 31, 41, 42, 32, 33, 23, 13, 3, 2, 12, 22, 24, 34, 44, 45, 55, 54, 53, 63, 73, 74, 64, 65, 66, 67, 57, 47, 46, 56, 68, 78, 79, 89, 99, 69, 59, 49, 39, 29, 28, 38, 48, 58, 36, 37, 27, 17, 16, 15, 14, 4, 5, 6, 7, 8, 9, 19, 18, 26, 25, 35, 43, 52, 51, 90]
gen=15	fitness=1127.858911629630	tour=[86, 87, 88, 78, 79, 69, 59, 49, 39, 38, 37, 36, 35, 34, 33, 43, 44, 45, 55, 54, 64, 63, 73, 83, 82, 81, 71, 72, 62, 52, 51, 41, 42, 32, 22, 12, 11, 21, 20, 10, 0, 1, 2, 3, 4, 14, 13, 23, 24, 25, 26, 27, 17, 16, 15, 5, 6, 7, 8, 9, 19, 29, 28, 18, 48, 47, 46, 56, 66, 65, 75, 85, 95, 94, 93, 92, 91, 90, 80, 70, 60, 50, 40, 30, 31, 61, 53, 74, 84, 96, 97, 98, 99, 89, 68, 67, 77, 76, 57, 58]
gen=16	fitness=1110.094551429903	tour=[26, 16, 6, 7, 8, 9, 19, 29, 39, 49, 59, 69, 68, 58, 48, 47, 57, 67, 66, 56, 55, 65, 75, 74, 64, 54, 44, 45, 46, 36, 35, 25, 24, 34, 33, 23, 13, 14, 4, 3, 2, 1, 0, 10, 20, 21, 31, 41, 42, 43, 53, 52, 51, 50, 60, 61, 71, 81, 80, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 89, 79, 78, 88, 87, 77, 76, 86, 85, 84, 83, 82, 72, 62, 63, 73, 70, 30, 40, 32, 22, 12, 11, 5, 15, 27, 37, 38, 28, 18, 17]
gen=17	fitness=1091.869125971185	tour=[15, 16, 26, 25, 24, 23, 13, 14, 4, 5, 6, 7, 8, 9, 19, 29, 28, 18, 17, 27, 37, 47, 48, 38, 39, 49, 59, 69, 79, 89, 99, 98, 97, 96, 95, 94, 93, 92, 82, 83, 84, 85, 75, 65, 55, 54, 53, 52, 42, 41, 31, 21, 22, 12, 2, 3, 11, 10, 0, 1, 20, 30, 40, 50, 60, 70, 80, 90, 91, 81, 71, 72, 73, 74, 64, 63, 62, 61, 51, 43, 33, 32, 34, 44, 45, 46, 56, 66, 76, 86, 87, 88, 78, 77, 67, 57, 58, 68, 35, 36]
gen=18	fitness=1078.863495173727	tour=[77, 76, 86, 85, 84, 94, 93, 92, 91, 90, 80, 70, 60, 50, 51, 41, 40, 30, 20, 10, 0, 1, 2, 3, 4, 5, 6, 7, 17, 16, 15, 14, 13, 12, 11, 21, 31, 32, 33, 43, 53, 54, 44, 45, 55, 56, 66, 67, 57, 58, 48, 38, 28, 18, 8, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99, 98, 97, 96, 95, 87, 88, 78, 68, 65, 75, 74, 64, 63, 73, 72, 71, 81, 82, 83, 62, 61, 52, 42, 22, 23, 24, 34, 35, 25, 26, 27, 37, 36, 46, 47]
gen=19	fitness=1078.863495173727	tour=[77, 76, 86, 85, 84, 94, 93, 92, 91, 90, 80, 70, 60, 50, 51, 41, 40, 30, 20, 10, 0, 1, 2, 3, 4, 5, 6, 7, 17, 16, 15, 14, 13, 12, 11, 21, 31, 32, 33, 43, 53, 54, 44, 45, 55, 56, 66, 67, 57, 58, 48, 38, 28, 18, 8, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99, 98, 97, 96, 95, 87, 88, 78, 68, 65, 75, 74, 64, 63, 73, 72, 71, 81, 82, 83, 62, 61, 52, 42, 22, 23, 24, 34, 35, 25, 26, 27, 37, 36, 46, 47]
gen=20	fitness=1078.613840908009	tour=[38, 37, 27, 28, 18, 17, 7, 8, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99, 98, 97, 96, 95, 85, 75, 65, 55, 56, 57, 58, 48, 47, 46, 36, 35, 34, 24, 23, 13, 12, 11, 21, 22, 32, 33, 43, 44, 45, 54, 64, 74, 84, 83, 82, 81, 71, 61, 51, 50, 40, 30, 20, 10, 0, 1, 2, 3, 4, 5, 6, 16, 26, 25, 15, 14, 31, 41, 42, 52, 53, 63, 73, 72, 62, 60, 70, 80, 90, 91, 92, 93, 94, 86, 87, 88, 78, 68, 67, 77, 76, 66]
