seed=101
gen=11	fitness=817.455224808919	tour=[29, 99, 2, 47, 79, 23, 3, 16, 97, 40, 46, 70, 84, 39, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32, 56, 25, 83, 58, 88, 33, 86, 53, 14, 36, 63, 13, 50, 20, 96, 18, 6, 26, 45, 64, 67, 30, 28, 71, 1, 31, 90, 34, 10, 61, 21, 12, 60, 66, 87, 76, 7, 35, 49, 82, 17, 77, 98, 74, 11, 54, 5, 78, 75, 37, 94, 95, 85, 0, 4, 15, 69, 65, 44, 80, 9, 38, 51, 8, 59, 42, 52, 93, 91, 68, 41, 92, 57, 81, 62]
gen=12	fitness=817.455224808919	tour=[29, 99, 2, 47, 79, 23, 3, 16, 97, 40, 46, 70, 84, 39, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32, 56, 25, 83, 58, 88, 33, 86, 53, 14, 36, 63, 13, 50, 20, 96, 18, 6, 26, 45, 64, 67, 30, 28, 71, 1, 31, 90, 34, 10, 61, 21, 12, 60, 66, 87, 76, 7, 35, 49, 82, 17, 77, 98, 74, 11, 54, 5, 78, 75, 37, 94, 95, 85, 0, 4, 15, 69, 65, 44, 80, 9, 38, 51, 8, 59, 42, 52, 93, 91, 68, 41, 92, 57, 81, 62]
gen=13	fitness=817.455224808919	tour=[29, 99, 2, 47, 79, 23, 3, 16, 97, 40, 46, 70, 84, 39, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32, 56, 25, 83, 58, 88, 33, 86, 53, 14, 36, 63, 13, 50, 20, 96, 18, 6, 26, 45, 64, 67, 30, 28, 71, 1, 31, 90, 34, 10, 61, 21, 12, 60, 66, 87, 76, 7, 35, 49, 82, 17, 77, 98, 74, 11, 54, 5, 78, 75, 37, 94, 95, 85, 0, 4, 15, 69, 65, 44, 80, 9, 38, 51, 8, 59, 42, 52, 93, 91, 68, 41, 92, 57, 81, 62]
gen=14	fitness=817.455224808919	tour=[29, 99, 2, 47, 79, 23, 3, 16, 97, 40, 46, 70, 84, 39, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32, 56, 25, 83, 58, 88, 33, 86, 53, 14, 36, 63, 13, 50, 20, 96, 18, 6, 26, 45, 64, 67, 30, 28, 71, 1, 31, 90, 34, 10, 61, 21, 12, 60, 66, 87, 76, 7, 35, 49, 82, 17, 77, 98, 74, 11, 54, 5, 78, 75, 37, 94, 95, 85, 0, 4, 15, 69, 65, 44, 80, 9, 38, 51, 8, 59, 42, 52, 93, 91, 68, 41, 92, 57, 81, 62]
gen=15	fitness=817.455224808919	tour=[29, 99, 2, 47, 79, 23, 3, 16, 97, 40, 46, 70, 84, 39, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32, 56, 25, 83, 58, 88, 33, 86, 53, 14, 36, 63, 13, 50, 20, 96, 18, 6, 26, 45, 64, 67, 30, 28, 71, 1, 31, 90, 34, 10, 61, 21, 12, 60, 66, 87, 76, 7, 35, 49, 82, 17, 77, 98, 74, 11, 54, 5, 78, 75, 37, 94, 95, 85, 0, 4, 15, 69, 65, 44, 80, 9, 38, 51, 8, 59, 42, 52, 93, 91, 68, 41, 92, 57, 81, 62]
gen=16	fitness=817.455224808919	tour=[29, 99, 2, 47, 79, 23, 3, 16, 97, 40, 46, 70, 84, 39, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32, 56, 25, 83, 58, 88, 33, 86, 53, 14, 36, 63, 13, 50, 20, 96, 18, 6, 26, 45, 64, 67, 30, 28, 71, 1, 31, 90, 34, 10, 61, 21, 12, 60, 66, 87, 76, 7, 35, 49, 82, 17, 77, 98, 74, 11, 54, 5, 78, 75, 37, 94, 95, 85, 0, 4, 15, 69, 65, 44, 80, 9, 38, 51, 8, 59, 42, 52, 93, 91, 68, 41, 92, 57, 81, 62]
gen=17	fitness=817.455224808919	tour=[29, 99, 2, 47, 79, 23, 3, 16, 97, 40, 46, 70, 84, 39, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32, 56, 25, 83, 58, 88, 33, 86, 53, 14, 36, 63, 13, 50, 20, 96, 18, 6, 26, 45, 64, 67, 30, 28, 71, 1, 31, 90, 34, 10, 61, 21, 12, 60, 66, 87, 76, 7, 35, 49, 82, 17, 77, 98, 74, 11, 54, 5, 78, 75, 37, 94, 95, 85, 0, 4, 15, 69, 65, 44, 80, 9, 38, 51, 8, 59, 42, 52, 93, 91, 68, 41, 92, 57, 81, 62]
gen=18	fitness=817.455224808919	tour=[29, 99, 2, 47, 79, 23, 3, 16, 97, 40, 46, 70, 84, 39, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32, 56, 25, 83, 58, 88, 33, 86, 53, 14, 36, 63, 13, 50, 20, 96, 18, 6, 26, 45, 64, 67, 30, 28, 71, 1, 31, 90, 34, 10, 61, 21, 12, 60, 66, 87, 76, 7, 35, 49, 82, 17, 77, 98, 74, 11, 54, 5, 78, 75, 37, 94, 95, 85, 0, 4, 15, 69, 65, 44, 80, 9, 38, 51, 8, 59, 42, 52, 93, 91, 68, 41, 92, 57, 81, 62]
gen=19	fitness=817.455224808919	tour=[29, 99, 2, 47, 79, 23, 3, 16, 97, 40, 46, 70, 84, 39, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32, 56, 25, 83, 58, 88, 33, 86, 53, 14, 36, 63, 13, 50, 20, 96, 18, 6, 26, 45, 64, 67, 30, 28, 71, 1, 31, 90, 34, 10, 61, 21, 12, 60, 66, 87, 76, 7, 35, 49, 82, 17, 77, 98, 74, 11, 54, 5, 78, 75, 37, 94, 95, 85, 0, 4, 15, 69, 65, 44, 80, 9, 38, 51, 8, 59, 42, 52, 93, 91, 68, 41, 92, 57, 81, 62]
gen=20	fitness=805.856359214879	tour=[25, 56, 62, 81, 57, 92, 41, 68, 91, 93, 52, 42, 59, 8, 51, 38, 9, 80, 44, 65, 69, 15, 4, 0, 85, 95, 94, 37, 75, 78, 5, 54, 11, 74, 98, 77, 17, 82, 49, 35, 7, 76, 87, 66, 60, 12, 21, 61, 10, 34, 90, 31, 1, 71, 28, 30, 67, 64, 45, 26, 6, 18, 96, 20, 50, 13, 63, 36, 14, 53, 86, 33, 88, 58, 83, 29, 99, 2, 47, 79, 23, 3, 16, 97, 40, 46, 70, 84, 39, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32]
