seed=105
gen=0	fitness=1948.615650574960	tour=[0, 9, 78, 54, 11, 5, 77, 82, 89, 93, 42, 15, 59, 8, 14, 57, 33, 53, 86, 29, 36, 50, 20, 58, 56, 13, 45, 64, 18, 26, 79, 47, 39, 3, 70, 24, 35, 66, 98, 74, 87, 21, 61, 10, 55, 73, 71, 30, 1, 67, 97, 43, 48, 34, 16, 99, 2, 63, 83, 25, 88, 23, 6, 96, 41, 92, 81, 51, 69, 91, 52, 68, 72, 95, 37, 75, 85, 19, 32, 22, 40, 84, 27, 12, 90, 28, 31, 46, 7, 76, 60, 17, 49, 94, 4, 44, 80, 62, 65, 38]
gen=1	fitness=939.063349175683	tour=[42, 59, 51, 8, 65, 38, 9, 44, 80, 0, 4, 15, 69, 52, 93, 91, 41, 68, 92, 81, 57, 62, 56, 25, 83, 58, 88, 29, 33, 86, 14, 53, 36, 63, 13, 18, 50, 20, 96, 6, 45, 64, 67, 97, 16, 40, 3, 23, 47, 79, 2, 99, 26, 46, 70, 84, 39, 22, 48, 43, 73, 27, 19, 35, 49, 17, 82, 77, 98, 74, 11, 54, 5, 78, 94, 37, 75, 95, 85, 24, 72, 7, 76, 87, 66, 60, 12, 21, 61, 10, 34, 90, 28, 30, 71, 31, 1, 32, 89, 55]
gen=2	fitness=939.063349175683	tour=[42, 59, 51, 8, 65, 38, 9, 44, 80, 0, 4, 15, 69, 52, 93, 91, 41, 68, 92, 81, 57, 62, 56, 25, 83, 58, 88, 29, 33, 86, 14, 53, 36, 63, 13, 18, 50, 20, 96, 6, 45, 64, 67, 97, 16, 40, 3, 23, 47, 79, 2, 99, 26, 46, 70, 84, 39, 22, 48, 43, 73, 27, 19, 35, 49, 17, 82, 77, 98, 74, 11, 54, 5, 78, 94, 37, 75, 95, 85, 24, 72, 7, 76, 87, 66, 60, 12, 21, 61, 10, 34, 90, 28, 30, 71, 31, 1, 32, 89, 55]
gen=3	fitness=939.063349175683	tour=[42, 59, 51, 8, 65, 38, 9, 44, 80, 0, 4, 15, 69, 52, 93, 91, 41, 68, 92, 81, 57, 62, 56, 25, 83, 58, 88, 29, 33, 86, 14, 53, 36, 63, 13, 18, 50, 20, 96, 6, 45, 64, 67, 97, 16, 40, 3, 23, 47, 79, 2, 99, 26, 46, 70, 84, 39, 22, 48, 43, 73, 27, 19, 35, 49, 17, 82, 77, 98, 74, 11, 54, 5, 78, 94, 37, 75, 95, 85, 24, 72, 7, 76, 87, 66, 60, 12, 21, 61, 10, 34, 90, 28, 30, 71, 31, 1, 32, 89, 55]
gen=4	fitness=939.063349175683	tour=[42, 59, 51, 8, 65, 38, 9, 44, 80, 0, 4, 15, 69, 52, 93, 91, 41, 68, 92, 81, 57, 62, 56, 25, 83, 58, 88, 29, 33, 86, 14, 53, 36, 63, 13, 18, 50, 20, 96, 6, 45, 64, 67, 97, 16, 40, 3, 23, 47, 79, 2, 99, 26, 46, 70, 84, 39, 22, 48, 43, 73, 27, 19, 35, 49, 17, 82, 77, 98, 74, 11, 54, 5, 78, 94, 37, 75, 95, 85, 24, 72, 7, 76, 87, 66, 60, 12, 21, 61, 10, 34, 90, 28, 30, 71, 31, 1, 32, 89, 55]
gen=5	fitness=939.063349175683	tour=[42, 59, 51, 8, 65, 38, 9, 44, 80, 0, 4, 15, 69, 52, 93, 91, 41, 68, 92, 81, 57, 62, 56, 25, 83, 58, 88, 29, 33, 86, 14, 53, 36, 63, 13, 18, 50, 20, 96, 6, 45, 64, 67, 97, 16, 40, 3, 23, 47, 79, 2, 99, 26, 46, 70, 84, 39, 22, 48, 43, 73, 27, 19, 35, 49, 17, 82, 77, 98, 74, 11, 54, 5, 78, 94, 37, 75, 95, 85, 24, 72, 7, 76, 87, 66, 60, 12, 21, 61, 10, 34, 90, 28, 30, 71, 31, 1, 32, 89, 55]
gen=6	fitness=921.606629885152	tour=[29, 83, 58, 88, 33, 86, 14, 53, 36, 63, 13, 50, 20, 96, 18, 6, 45, 26, 99, 2, 47, 79, 40, 97, 16, 3, 23, 46, 39, 84, 70, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32, 56, 25, 57, 81, 62, 65, 51, 38, 9, 44, 80, 0, 4, 15, 69, 59, 42, 52, 93, 91, 68, 41, 92, 8, 7, 87, 76, 82, 17, 49, 35, 94, 95, 85, 37, 75, 78, 5, 54, 77, 98, 74, 11, 66, 60, 12, 21, 61, 10, 34, 90, 31, 1, 71, 28, 30, 67, 64]
gen=7	fitness=921.606629885152	tour=[29, 83, 58, 88, 33, 86, 14, 53, 36, 63, 13, 50, 20, 96, 18, 6, 45, 26, 99, 2, 47, 79, 40, 97, 16, 3, 23, 46, 39, 84, 70, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32, 56, 25, 57, 81, 62, 65, 51, 38, 9, 44, 80, 0, 4, 15, 69, 59, 42, 52, 93, 91, 68, 41, 92, 8, 7, 87, 76, 82, 17, 49, 35, 94, 95, 85, 37, 75, 78, 5, 54, 77, 98, 74, 11, 66, 60, 12, 21, 61, 10, 34, 90, 31, 1, 71, 28, 30, 67, 64]
gen=8	fitness=907.331274854856	tour=[41, 68, 91, 93, 52, 42, 59, 51, 38, 9, 80, 44, 0, 4, 15, 69, 65, 8, 57, 81, 62, 56, 25, 83, 58, 88, 33, 86, 53, 14, 36, 63, 29, 99, 2, 47, 79, 23, 3, 16, 97, 40, 46, 70, 84, 39, 22, 48, 43, 27, 73, 19, 72, 89, 32, 55, 24, 85, 95, 94, 37, 75, 78, 77, 82, 17, 49, 35, 7, 76, 87, 66, 11, 74, 98, 54, 5, 60, 12, 21, 61, 10, 34, 90, 31, 1, 71, 28, 30, 67, 64, 6, 18, 96, 20, 50, 13, 45, 26, 92]
gen=9	fitness=882.988154218769	tour=[32, 89, 55, 19, 72, 7, 76, 87, 66, 60, 12, 21, 61, 10, 34, 90, 31, 1, 46, 40, 97, 16, 3, 23, 79, 47, 2, 99, 26, 45, 6, 64, 67, 71, 30, 28, 84, 70, 39, 22, 48, 43, 27, 73, 35, 49, 17, 82, 77, 98, 74, 11, 54, 5, 78, 75, 37, 94, 95, 85, 24, 0, 4, 15, 69, 9, 80, 44, 38, 65, 51, 8, 59, 42, 52, 93, 91, 68, 41, 92, 57, 81, 62, 56, 25, 83, 58, 88, 33, 86, 53, 14, 36, 63, 29, 13, 20, 96, 18, 50]
gen=10	fitness=876.610851300484	tour=[30, 28, 71, 1, 31, 90, 34, 10, 61, 21, 12, 60, 66, 87, 76, 7, 72, 19, 73, 27, 43, 48, 22, 39, 84, 70, 46, 40, 97, 16, 3, 23, 79, 47, 2, 99, 26, 45, 64, 6, 18, 96, 20, 50, 13, 36, 14, 53, 86, 33, 88, 58, 83, 25, 56, 62, 81, 57, 92, 41, 68, 91, 93, 52, 42, 59, 51, 8, 65, 38, 9, 80, 44, 0, 4, 15, 69, 85, 95, 37, 75, 78, 94, 35, 49, 82, 17, 77, 98, 74, 11, 54, 5, 24, 55, 89, 32, 29, 63, 67]
